cycle_nodes,cycle_edges,vorticity
"St Pauli,Holstein Kiel,Augsburg,St Pauli","(St Pauli,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,St Pauli)",-21.38629436111989
"Werder Bremen,Holstein Kiel,Augsburg,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,Werder Bremen)",-21.38629436111989
"St Pauli,Holstein Kiel,Bochum,St Pauli","(St Pauli,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,St Pauli)",-20.0
"Ein Frankfurt,Holstein Kiel,Augsburg,Ein Frankfurt","(Ein Frankfurt,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,Ein Frankfurt)",-20.0
"Dortmund,Holstein Kiel,Augsburg,Dortmund","(Dortmund,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,Dortmund)",-20.0
"M'gladbach,Holstein Kiel,Augsburg,M'gladbach","(M'gladbach,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,M'gladbach)",-20.0
"Bochum,Holstein Kiel,Augsburg,Bochum","(Bochum,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,Bochum)",-20.0
"St Pauli,Holstein Kiel,Dortmund,St Pauli","(St Pauli,Holstein Kiel);(Holstein Kiel,Dortmund);(Dortmund,St Pauli)",-20.0
"Freiburg,Holstein Kiel,Dortmund,Freiburg","(Freiburg,Holstein Kiel);(Holstein Kiel,Dortmund);(Dortmund,Freiburg)",-20.0
"Werder Bremen,Holstein Kiel,M'gladbach,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,M'gladbach);(M'gladbach,Werder Bremen)",-20.0
"Hoffenheim,Holstein Kiel,Augsburg,Hoffenheim","(Hoffenheim,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,Hoffenheim)",-20.0
"Union Berlin,Holstein Kiel,Hoffenheim,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,Hoffenheim);(Hoffenheim,Union Berlin)",20.0
"Freiburg,Holstein Kiel,Augsburg,Freiburg","(Freiburg,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,Freiburg)",-18.613705638880113
"St Pauli,Holstein Kiel,Mainz,St Pauli","(St Pauli,Holstein Kiel);(Holstein Kiel,Mainz);(Mainz,St Pauli)",-18.61370563888011
"Leverkusen,Holstein Kiel,Ein Frankfurt,Leverkusen","(Leverkusen,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,Leverkusen)",18.61370563888011
"Leverkusen,Holstein Kiel,Hoffenheim,Leverkusen","(Leverkusen,Holstein Kiel);(Holstein Kiel,Hoffenheim);(Hoffenheim,Leverkusen)",18.613705638880106
