Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Bayern Munich,1,-5.786605,-4.357578,0.058824
Leverkusen,2,-3.239876,0.021149,0.088235
Ein Frankfurt,3,-2.299239,-0.390417,0.147059
Freiburg,4,-1.589650,-0.815910,0.176471
Dortmund,5,-1.265144,2.390894,0.382353
Stuttgart,6,-0.957078,0.567289,0.264706
Mainz,7,-0.709588,0.902073,0.323529
Werder Bremen,8,-0.231049,0.548863,0.323529
RB Leipzig,9,0.093457,0.982608,0.264706
M'gladbach,10,0.555556,0.767170,0.264706
Augsburg,11,0.555556,1.635541,0.264706
Union Berlin,12,0.709588,2.866051,0.323529
Wolfsburg,13,0.957078,0.090904,0.235294
Hoffenheim,14,1.496193,-0.246018,0.147059
St Pauli,15,1.573209,1.064317,0.235294
Heidenheim,16,3.008827,-1.252573,0.264706
Holstein Kiel,17,3.162860,0.061220,0.176471
Bochum,18,3.965905,0.249483,0.176471
