k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},62.211488,41.658497,74.871221,83.091324,18,153
1,{Union Berlin},58.351548,43.421446,72.734622,80.225273,17,136
1,{Dortmund},57.074412,41.765627,70.723801,80.700430,17,136
1,{Augsburg},56.985110,40.581597,69.958336,81.455783,17,136
1,{St Pauli},57.968021,40.421248,70.669433,82.027007,17,136
1,{RB Leipzig},60.818573,42.279815,74.070787,82.108716,17,136
1,{Mainz},59.780041,41.432740,72.734622,82.189251,17,136
1,{M'gladbach},56.403575,38.894801,68.514004,82.324154,17,136
1,{Stuttgart},58.319268,39.912802,70.669433,82.524035,17,136
1,{Werder Bremen},58.321065,39.886093,70.655835,82.542461,17,136
1,{Bochum},56.769880,38.383217,68.528028,82.841841,17,136
1,{Wolfsburg},59.796749,40.183006,72.043911,83.000420,17,136
1,{Holstein Kiel},58.097883,38.996495,69.972070,83.030104,17,136
1,{Leverkusen},59.245294,39.704870,71.319573,83.070175,17,136
1,{Hoffenheim},58.905358,39.067243,70.683029,83.337342,17,136
1,{Ein Frankfurt},58.984721,38.897939,70.655835,83.481741,17,136
1,{Freiburg},57.499973,37.280608,68.528028,83.907234,17,136
1,{Heidenheim},59.040331,37.605498,69.999530,84.343897,17,136
1,{Bayern Munich},59.310307,32.897138,67.822815,87.448902,17,136
2,"{Dortmund, Union Berlin}",52.832032,43.534560,68.457882,77.174506,16,120
2,"{Augsburg, Union Berlin}",52.800118,42.319521,67.666789,78.029590,16,120
2,"{St Pauli, Union Berlin}",53.625479,42.462952,68.401713,78.397860,16,120
2,"{RB Leipzig, Union Berlin}",56.739810,44.178060,71.910410,78.903472,16,120
2,"{Dortmund, St Pauli}",52.902842,41.129241,67.009889,78.947814,16,120
2,"{Mainz, Union Berlin}",55.750932,43.228533,70.546952,79.026705,16,120
2,"{Union Berlin, Werder Bremen}",54.079391,41.883335,68.401713,79.061457,16,120
2,"{Stuttgart, Union Berlin}",54.164125,41.796694,68.415759,79.169077,16,120
2,"{Dortmund, RB Leipzig}",55.376659,42.615297,69.875875,79.250040,16,120
