Node,total_upsets,total_games,rate
Augsburg,9,34,0.264706
Bayern Munich,2,34,0.058824
Bochum,6,34,0.176471
Dortmund,13,34,0.382353
Ein Frankfurt,5,34,0.147059
Freiburg,6,34,0.176471
Heidenheim,9,34,0.264706
Hoffenheim,5,34,0.147059
Holstein Kiel,6,34,0.176471
Leverkusen,3,34,0.088235
M'gladbach,9,34,0.264706
Mainz,11,34,0.323529
RB Leipzig,9,34,0.264706
St Pauli,8,34,0.235294
Stuttgart,9,34,0.264706
Union Berlin,11,34,0.323529
Werder Bremen,11,34,0.323529
Wolfsburg,8,34,0.235294
