Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Man City,1,-5.069315,-3.164947,0.157895
Man United,2,-3.569315,0.149290,0.184211
Liverpool,3,-2.930685,0.940130,0.236842
Chelsea,4,-2.500000,0.395757,0.236842
West Ham,5,-1.638629,1.005707,0.105263
Tottenham,6,-1.500000,-0.689100,0.210526
Leeds,7,-1.292056,0.774033,0.289474
Leicester,8,-1.277259,0.078089,0.289474
Everton,9,-0.638629,1.506548,0.342105
Arsenal,10,-0.346574,1.949696,0.315789
Aston Villa,11,0.292056,0.604268,0.342105
Brighton,12,0.777259,2.187656,0.289474
Wolves,13,1.069315,1.355795,0.263158
Crystal Palace,14,1.138629,-0.189946,0.236842
Southampton,15,1.207944,-0.753076,0.184211
Newcastle,16,1.430685,1.576649,0.210526
Burnley,17,2.792056,0.385421,0.236842
Fulham,18,2.846574,-0.064766,0.078947
West Brom,19,3.707944,-0.060599,0.131579
Sheffield United,20,5.500000,-3.170080,0.184211
