k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},70.380738,50.709659,86.746284,81.134009,20,190
1,{Brighton},66.096268,51.388975,83.723015,78.946353,19,171
1,{Arsenal},63.896712,49.281592,80.693650,79.184313,19,171
1,{Newcastle},64.726415,49.291415,81.358173,79.557360,19,171
1,{Everton},66.666512,50.647009,83.723015,79.627461,19,171
1,{Wolves},64.375953,48.653898,80.693650,79.778214,19,171
1,{West Ham},64.169649,47.912870,80.083624,80.128302,19,171
1,{Liverpool},66.669359,49.665498,83.135222,80.193879,19,171
1,{Leeds},65.360424,48.407889,81.334548,80.359976,19,171
1,{Aston Villa},67.431170,49.643756,83.734492,80.529741,19,171
1,{Chelsea},66.643971,48.702855,82.543243,80.738252,19,171
1,{Burnley},65.178211,47.614173,80.717462,80.748588,19,171
1,{Man United},66.819124,48.402749,82.508312,80.984719,19,171
1,{Leicester},68.363290,49.394813,84.340897,81.055920,19,171
1,{West Brom},66.992300,48.162778,82.508312,81.194608,19,171
1,{Fulham},67.954099,48.846886,83.688577,81.198775,19,171
1,{Crystal Palace},67.599450,48.372075,83.123663,81.323955,19,171
1,{Tottenham},68.523554,48.144672,83.745967,81.823109,19,171
1,{Southampton},68.095937,47.731039,83.158335,81.887085,19,171
1,{Man City},68.043978,43.420338,80.717462,84.298956,19,171
1,{Sheffield United},67.554220,43.098742,80.131605,84.304089,19,171
2,"{Arsenal, Brighton}",59.849799,50.140724,78.077465,76.654382,18,153
2,"{Brighton, Wolves}",59.658731,49.384697,77.446836,77.031850,18,153
2,"{Brighton, Newcastle}",60.784123,50.090600,78.764064,77.172405,18,153
2,"{Brighton, Everton}",62.285485,51.152801,80.598329,77.278879,18,153
2,"{Arsenal, Newcastle}",58.551581,47.722238,75.536082,77.514719,18,153
2,"{Brighton, West Ham}",59.550286,48.495112,76.798518,77.540931,18,153
2,"{Arsenal, Everton}",60.703527,49.103690,78.077465,77.747820,18,153
2,"{Arsenal, Wolves}",58.190913,47.030097,74.819866,77.774682,18,153
2,"{Arsenal, Leeds}",58.270086,46.993350,74.858385,77.840425,18,153
2,"{Arsenal, Liverpool}",60.292721,48.608644,77.446836,77.850463,18,153
2,"{Everton, Wolves}",60.810150,48.971586,78.077465,77.884380,18,153
2,"{Brighton, Liverpool}",62.380538,50.066764,79.987577,77.987784,18,153
2,"{Brighton, Man United}",62.354860,50.041168,79.951529,77.990828,18,153
2,"{Arsenal, West Ham}",57.331739,45.988343,73.497320,78.005210,18,153
2,"{Brighton, Chelsea}",61.927871,49.647487,79.372125,78.022192,18,153
2,"{Everton, West Ham}",59.934762,48.019128,76.798518,78.041561,18,153
2,"{West Ham, Wolves}",57.943533,46.286945,74.161541,78.131511,18,153
2,"{Aston Villa, Brighton}",62.986223,50.306541,80.610250,78.136742,18,153
2,"{Liverpool, Wolves}",60.533689,48.308228,77.446836,78.161603,18,153
2,"{Newcastle, Wolves}",58.603966,46.596940,74.871221,78.273021,18,153
2,"{Leeds, Newcastle}",59.681930,47.408971,76.220360,78.301821,18,153
2,"{Everton, Liverpool}",62.635407,49.747544,79.987577,78.306420,18,153
2,"{Chelsea, Newcastle}",60.732294,48.158176,77.508848,78.355305,18,153
2,"{Brighton, Burnley}",60.738577,48.070360,77.459242,78.413596,18,153
2,"{Liverpool, Newcastle}",60.795609,48.058231,77.496449,78.449541,18,153
2,"{Aston Villa, Wolves}",60.823247,47.963183,77.459242,78.522904,18,153
2,"{Man United, Newcastle}",60.921586,47.858295,77.471647,78.637268,18,153
2,"{Arsenal, West Brom}",60.411582,47.377310,76.773490,78.688076,18,153
2,"{Aston Villa, Everton}",63.434479,49.740118,80.610250,78.692820,18,153
2,"{Brighton, Leeds}",61.971924,48.573809,78.739661,78.704839,18,153
2,"{Everton, Newcastle}",62.012891,48.561088,78.764064,78.732466,18,153
2,"{Arsenal, Leicester}",61.529718,48.104345,78.102076,78.781156,18,153
2,"{Aston Villa, Newcastle}",61.593171,48.103043,78.151273,78.812755,18,153
2,"{Brighton, West Brom}",62.539582,48.815668,79.335798,78.828958,18,153
