cycle_nodes,cycle_edges,vorticity
"Man United,Luton,Crystal Palace,Man United","(Man United,Luton);(Luton,Crystal Palace);(Crystal Palace,Man United)",-21.38629436111989
"Newcastle,Luton,Aston Villa,Newcastle","(Newcastle,Luton);(Luton,Aston Villa);(Aston Villa,Newcastle)",21.38629436111989
"Everton,Luton,Brentford,Everton","(Everton,Luton);(Luton,Brentford);(Brentford,Everton)",21.38629436111989
"Newcastle,Luton,Fulham,Newcastle","(Newcastle,Luton);(Luton,Fulham);(Fulham,Newcastle)",21.38629436111989
"Newcastle,Luton,Brentford,Newcastle","(Newcastle,Luton);(Luton,Brentford);(Brentford,Newcastle)",21.38629436111989
"Liverpool,Luton,Brentford,Liverpool","(Liverpool,Luton);(Luton,Brentford);(Brentford,Liverpool)",18.61370563888011
"Wolves,Luton,Chelsea,Wolves","(Wolves,Luton);(Luton,Chelsea);(Chelsea,Wolves)",18.61370563888011
"Liverpool,Luton,Fulham,Liverpool","(Liverpool,Luton);(Luton,Fulham);(Fulham,Liverpool)",18.61370563888011
"Wolves,Luton,Tottenham,Wolves","(Wolves,Luton);(Luton,Tottenham);(Tottenham,Wolves)",18.61370563888011
"West Ham,Luton,Crystal Palace,West Ham","(West Ham,Luton);(Luton,Crystal Palace);(Crystal Palace,West Ham)",-12.772588722239782
"Wolves,Luton,Crystal Palace,Wolves","(Wolves,Luton);(Luton,Crystal Palace);(Crystal Palace,Wolves)",-12.772588722239782
"West Ham,Luton,Newcastle,West Ham","(West Ham,Luton);(Luton,Newcastle);(Newcastle,West Ham)",-12.772588722239782
"Newcastle,Luton,Burnley,Newcastle","(Newcastle,Luton);(Luton,Burnley);(Burnley,Newcastle)",12.772588722239782
"Everton,Luton,Burnley,Everton","(Everton,Luton);(Luton,Burnley);(Burnley,Everton)",12.772588722239782
"Crystal Palace,Luton,Burnley,Crystal Palace","(Crystal Palace,Luton);(Luton,Burnley);(Burnley,Crystal Palace)",12.772588722239782
"Crystal Palace,Luton,Brentford,Crystal Palace","(Crystal Palace,Luton);(Luton,Brentford);(Brentford,Crystal Palace)",12.77258872223978
"Sheffield United,Luton,Crystal Palace,Sheffield United","(Sheffield United,Luton);(Luton,Crystal Palace);(Crystal Palace,Sheffield United)",-11.38629436111989
"Fulham,Luton,Crystal Palace,Fulham","(Fulham,Luton);(Luton,Crystal Palace);(Crystal Palace,Fulham)",-11.38629436111989
"Tottenham,Luton,Newcastle,Tottenham","(Tottenham,Luton);(Luton,Newcastle);(Newcastle,Tottenham)",-11.38629436111989
"Sheffield United,Luton,Newcastle,Sheffield United","(Sheffield United,Luton);(Luton,Newcastle);(Newcastle,Sheffield United)",-11.38629436111989
"Burnley,Luton,Bournemouth,Burnley","(Burnley,Luton);(Luton,Bournemouth);(Bournemouth,Burnley)",-11.38629436111989
"Man United,Luton,Bournemouth,Man United","(Man United,Luton);(Luton,Bournemouth);(Bournemouth,Man United)",-11.38629436111989
"Nott'm Forest,Luton,Everton,Nott'm Forest","(Nott'm Forest,Luton);(Luton,Everton);(Everton,Nott'm Forest)",-11.38629436111989
"Everton,Luton,Chelsea,Everton","(Everton,Luton);(Luton,Chelsea);(Chelsea,Everton)",11.38629436111989
"Crystal Palace,Luton,Aston Villa,Crystal Palace","(Crystal Palace,Luton);(Luton,Aston Villa);(Aston Villa,Crystal Palace)",11.38629436111989
"Newcastle,Luton,Man United,Newcastle","(Newcastle,Luton);(Luton,Man United);(Man United,Newcastle)",11.38629436111989
"Newcastle,Luton,Arsenal,Newcastle","(Newcastle,Luton);(Luton,Arsenal);(Arsenal,Newcastle)",11.38629436111989
"Newcastle,Luton,Chelsea,Newcastle","(Newcastle,Luton);(Luton,Chelsea);(Chelsea,Newcastle)",11.38629436111989
"West Ham,Luton,Everton,West Ham","(West Ham,Luton);(Luton,Everton);(Everton,West Ham)",-11.386294361119889
"Brighton,Luton,Brentford,Brighton","(Brighton,Luton);(Luton,Brentford);(Brentford,Brighton)",11.386294361119889
"Tottenham,Luton,Brighton,Tottenham","(Tottenham,Luton);(Luton,Brighton);(Brighton,Tottenham)",-10.0
"Sheffield United,Luton,Nott'm Forest,Sheffield United","(Sheffield United,Luton);(Luton,Nott'm Forest);(Nott'm Forest,Sheffield United)",-10.0
"Fulham,Luton,Everton,Fulham","(Fulham,Luton);(Luton,Everton);(Everton,Fulham)",-10.0
"West Ham,Luton,Nott'm Forest,West Ham","(West Ham,Luton);(Luton,Nott'm Forest);(Nott'm Forest,West Ham)",-10.0
"Man City,Luton,Crystal Palace,Man City","(Man City,Luton);(Luton,Crystal Palace);(Crystal Palace,Man City)",-10.0
"Fulham,Luton,Chelsea,Fulham","(Fulham,Luton);(Luton,Chelsea);(Chelsea,Fulham)",-10.0
"Brentford,Luton,Arsenal,Brentford","(Brentford,Luton);(Luton,Arsenal);(Arsenal,Brentford)",-10.0
"Man United,Luton,Man City,Man United","(Man United,Luton);(Luton,Man City);(Man City,Man United)",-10.0
"Fulham,Luton,Bournemouth,Fulham","(Fulham,Luton);(Luton,Bournemouth);(Bournemouth,Fulham)",-10.0
"West Ham,Luton,Bournemouth,West Ham","(West Ham,Luton);(Luton,Bournemouth);(Bournemouth,West Ham)",-10.0
"West Ham,Luton,Liverpool,West Ham","(West Ham,Luton);(Luton,Liverpool);(Liverpool,West Ham)",-10.0
"Man United,Luton,Arsenal,Man United","(Man United,Luton);(Luton,Arsenal);(Arsenal,Man United)",-10.0
"Wolves,Luton,Liverpool,Wolves","(Wolves,Luton);(Luton,Liverpool);(Liverpool,Wolves)",-10.0
"Fulham,Luton,Burnley,Fulham","(Fulham,Luton);(Luton,Burnley);(Burnley,Fulham)",-10.0
"Fulham,Luton,Aston Villa,Fulham","(Fulham,Luton);(Luton,Aston Villa);(Aston Villa,Fulham)",-10.0
"Tottenham,Luton,Everton,Tottenham","(Tottenham,Luton);(Luton,Everton);(Everton,Tottenham)",-10.0
"West Ham,Luton,Fulham,West Ham","(West Ham,Luton);(Luton,Fulham);(Fulham,West Ham)",-10.0
"Man United,Luton,Brighton,Man United","(Man United,Luton);(Luton,Brighton);(Brighton,Man United)",-10.0
"Nott'm Forest,Luton,Brighton,Nott'm Forest","(Nott'm Forest,Luton);(Luton,Brighton);(Brighton,Nott'm Forest)",-10.0
"Tottenham,Luton,Chelsea,Tottenham","(Tottenham,Luton);(Luton,Chelsea);(Chelsea,Tottenham)",-10.0
"Liverpool,Luton,Chelsea,Liverpool","(Liverpool,Luton);(Luton,Chelsea);(Chelsea,Liverpool)",10.0
"Sheffield United,Luton,Brentford,Sheffield United","(Sheffield United,Luton);(Luton,Brentford);(Brentford,Sheffield United)",10.0
"Man United,Luton,Aston Villa,Man United","(Man United,Luton);(Luton,Aston Villa);(Aston Villa,Man United)",10.0
"Brighton,Luton,Aston Villa,Brighton","(Brighton,Luton);(Luton,Aston Villa);(Aston Villa,Brighton)",10.0
"Nott'm Forest,Luton,Man United,Nott'm Forest","(Nott'm Forest,Luton);(Luton,Man United);(Man United,Nott'm Forest)",10.0
"Nott'm Forest,Luton,Aston Villa,Nott'm Forest","(Nott'm Forest,Luton);(Luton,Aston Villa);(Aston Villa,Nott'm Forest)",10.0
"Liverpool,Luton,Burnley,Liverpool","(Liverpool,Luton);(Luton,Burnley);(Burnley,Liverpool)",10.0
"Everton,Luton,Aston Villa,Everton","(Everton,Luton);(Luton,Aston Villa);(Aston Villa,Everton)",10.0
"Liverpool,Luton,Aston Villa,Liverpool","(Liverpool,Luton);(Luton,Aston Villa);(Aston Villa,Liverpool)",10.0
"Aston Villa,Luton,Arsenal,Aston Villa","(Aston Villa,Luton);(Luton,Arsenal);(Arsenal,Aston Villa)",10.0
"Nott'm Forest,Luton,Chelsea,Nott'm Forest","(Nott'm Forest,Luton);(Luton,Chelsea);(Chelsea,Nott'm Forest)",10.0
"West Ham,Luton,Man City,West Ham","(West Ham,Luton);(Luton,Man City);(Man City,West Ham)",-9.999999999999998
"Nott'm Forest,Luton,Fulham,Nott'm Forest","(Nott'm Forest,Luton);(Luton,Fulham);(Fulham,Nott'm Forest)",9.999999999999998
"Man City,Luton,Fulham,Man City","(Man City,Luton);(Luton,Fulham);(Fulham,Man City)",9.999999999999998
"Man City,Luton,Brentford,Man City","(Man City,Luton);(Luton,Brentford);(Brentford,Man City)",9.999999999999998
"Man United,Luton,Liverpool,Man United","(Man United,Luton);(Luton,Liverpool);(Liverpool,Man United)",-8.61370563888011
"Nott'm Forest,Luton,Liverpool,Nott'm Forest","(Nott'm Forest,Luton);(Luton,Liverpool);(Liverpool,Nott'm Forest)",-8.61370563888011
"West Ham,Luton,Brighton,West Ham","(West Ham,Luton);(Luton,Brighton);(Brighton,West Ham)",-8.61370563888011
"Tottenham,Luton,Liverpool,Tottenham","(Tottenham,Luton);(Luton,Liverpool);(Liverpool,Tottenham)",-8.61370563888011
"Sheffield United,Luton,Liverpool,Sheffield United","(Sheffield United,Luton);(Luton,Liverpool);(Liverpool,Sheffield United)",-8.61370563888011
"Fulham,Luton,Brighton,Fulham","(Fulham,Luton);(Luton,Brighton);(Brighton,Fulham)",-8.61370563888011
"Man City,Luton,Liverpool,Man City","(Man City,Luton);(Luton,Liverpool);(Liverpool,Man City)",-8.61370563888011
"Chelsea,Luton,Bournemouth,Chelsea","(Chelsea,Luton);(Luton,Bournemouth);(Bournemouth,Chelsea)",-8.61370563888011
"Crystal Palace,Luton,Bournemouth,Crystal Palace","(Crystal Palace,Luton);(Luton,Bournemouth);(Bournemouth,Crystal Palace)",-8.61370563888011
"Brentford,Luton,Bournemouth,Brentford","(Brentford,Luton);(Luton,Bournemouth);(Bournemouth,Brentford)",-8.61370563888011
"West Ham,Luton,Sheffield United,West Ham","(West Ham,Luton);(Luton,Sheffield United);(Sheffield United,West Ham)",-8.61370563888011
"Sheffield United,Luton,Burnley,Sheffield United","(Sheffield United,Luton);(Luton,Burnley);(Burnley,Sheffield United)",-8.61370563888011
"Liverpool,Luton,Bournemouth,Liverpool","(Liverpool,Luton);(Luton,Bournemouth);(Bournemouth,Liverpool)",8.61370563888011
"Wolves,Luton,Fulham,Wolves","(Wolves,Luton);(Luton,Fulham);(Fulham,Wolves)",8.61370563888011
"Wolves,Luton,Brentford,Wolves","(Wolves,Luton);(Luton,Brentford);(Brentford,Wolves)",8.61370563888011
"Burnley,Luton,Brentford,Burnley","(Burnley,Luton);(Luton,Brentford);(Brentford,Burnley)",8.61370563888011
"Sheffield United,Luton,Aston Villa,Sheffield United","(Sheffield United,Luton);(Luton,Aston Villa);(Aston Villa,Sheffield United)",8.61370563888011
"Sheffield United,Luton,Fulham,Sheffield United","(Sheffield United,Luton);(Luton,Fulham);(Fulham,Sheffield United)",8.61370563888011
"Nott'm Forest,Luton,Brentford,Nott'm Forest","(Nott'm Forest,Luton);(Luton,Brentford);(Brentford,Nott'm Forest)",8.61370563888011
"Sheffield United,Luton,Chelsea,Sheffield United","(Sheffield United,Luton);(Luton,Chelsea);(Chelsea,Sheffield United)",8.61370563888011
"Wolves,Luton,Man City,Wolves","(Wolves,Luton);(Luton,Man City);(Man City,Wolves)",8.61370563888011
"Bournemouth,Luton,Aston Villa,Bournemouth","(Bournemouth,Luton);(Luton,Aston Villa);(Aston Villa,Bournemouth)",8.61370563888011
"Man United,Luton,Burnley,Man United","(Man United,Luton);(Luton,Burnley);(Burnley,Man United)",-7.227411277760218
"West Ham,Luton,Burnley,West Ham","(West Ham,Luton);(Luton,Burnley);(Burnley,West Ham)",-7.227411277760218
"Chelsea,Luton,Burnley,Chelsea","(Chelsea,Luton);(Luton,Burnley);(Burnley,Chelsea)",-7.227411277760218
"Newcastle,Luton,Liverpool,Newcastle","(Newcastle,Luton);(Luton,Liverpool);(Liverpool,Newcastle)",-7.227411277760218
"Wolves,Luton,Everton,Wolves","(Wolves,Luton);(Luton,Everton);(Everton,Wolves)",7.2274112777602175
