Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Paris SG,1,-6.666667,-3.848041,0.058824
Marseille,2,-3.256317,-0.804575,0.205882
Nice,3,-2.299239,0.753523,0.264706
Lille,4,-2.299239,0.245646,0.205882
Monaco,5,-1.897716,0.506555,0.176471
Strasbourg,6,-1.743683,1.519281,0.264706
Lens,7,-1.034095,-0.501349,0.205882
Lyon,8,-0.863621,-0.011053,0.205882
Auxerre,9,0.231049,3.952387,0.323529
Brest,10,0.324506,0.432378,0.176471
Toulouse,11,1.034095,0.266864,0.117647
Rennes,12,1.265144,-0.181060,0.147059
Nantes,13,1.666667,1.649002,0.264706
Reims,14,2.299239,1.658727,0.235294
Le Havre,15,2.376255,1.008946,0.235294
Angers,16,2.623745,-0.772284,0.205882
St Etienne,17,2.931810,-0.594398,0.176471
Montpellier,18,5.308065,-0.451194,0.117647
