k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},64.646608,49.162045,81.216320,79.598052,18,153
1,{Auxerre},58.491243,50.572411,77.322664,75.645665,17,136
1,{Reims},61.283498,49.264295,78.629752,77.939325,17,136
1,{Nantes},60.803056,48.862543,78.003588,77.949050,17,136
1,{Strasbourg},61.868715,49.508145,79.238843,78.078771,17,136
1,{Le Havre},58.749777,46.226259,74.755624,78.589106,17,136
1,{Nice},60.984283,47.576834,77.347514,78.844529,17,136
1,{Monaco},61.684461,47.724890,77.991268,79.091497,17,136
1,{Brest},60.738604,46.875404,76.723409,79.165674,17,136
1,{Toulouse},60.346383,46.311938,76.068926,79.331188,17,136
1,{Lille},61.377113,47.068970,77.347514,79.352406,17,136
1,{Lyon},61.068848,46.423652,76.710884,79.609105,17,136
1,{Rennes},59.659879,45.088200,74.781328,79.779112,17,136
1,{Montpellier},60.374346,45.203337,75.421505,80.049246,17,136
1,{Lens},61.954895,46.305819,77.347514,80.099401,17,136
1,{St Etienne},60.482353,45.058721,75.421505,80.192450,17,136
1,{Angers},61.652795,45.645291,76.710884,80.370336,17,136
1,{Marseille},60.115819,44.456871,74.768477,80.402627,17,136
1,{Paris SG},61.276069,40.465917,73.431921,83.446093,17,136
2,"{Auxerre, Nantes}",54.092481,50.430038,73.953940,73.143474,16,120
2,"{Auxerre, Reims}",55.218253,51.149644,75.268464,73.361738,16,120
2,"{Auxerre, Strasbourg}",55.907691,51.340317,75.904532,73.655273,16,120
2,"{Auxerre, Nice}",54.511388,48.946624,73.261609,74.406484,16,120
2,"{Auxerre, Lille}",54.587590,48.861625,73.261609,74.510498,16,120
2,"{Auxerre, Monaco}",55.704349,49.622244,74.601217,74.669491,16,120
2,"{Auxerre, Toulouse}",53.799597,47.714887,71.910410,74.814754,16,120
2,"{Auxerre, Brest}",54.467696,48.003928,72.602390,75.021905,16,120
2,"{Auxerre, Lyon}",54.644522,47.782439,72.589154,75.279183,16,120
2,"{Auxerre, Le Havre}",53.742872,46.720560,71.211706,75.469155,16,120
2,"{Auxerre, Montpellier}",53.934785,46.498882,71.211706,75.738651,16,120
2,"{Auxerre, Rennes}",53.993486,46.472079,71.238688,75.792365,16,120
2,"{Nantes, Strasbourg}",58.112710,49.901667,76.598064,75.867074,16,120
2,"{Auxerre, Lens}",55.586432,47.722238,73.261609,75.873889,16,120
2,"{Auxerre, St Etienne}",54.079777,46.350906,71.225198,75.927872,16,120
2,"{Nantes, Reims}",57.251079,48.922602,75.306753,76.023831,16,120
2,"{Reims, Strasbourg}",58.331367,49.645897,76.598064,76.152534,16,120
2,"{Angers, Auxerre}",55.419868,46.860449,72.575915,76.361239,16,120
2,"{Nice, Reims}",57.626878,48.459551,75.293992,76.535826,16,120
2,"{Le Havre, Strasbourg}",55.670930,46.603161,72.602390,76.679197,16,120
2,"{Le Havre, Reims}",55.180084,46.173919,71.950486,76.691746,16,120
2,"{Lille, Reims}",58.031133,47.974710,75.293992,77.072728,16,120
2,"{Le Havre, Nantes}",55.474803,45.819414,71.950486,77.101359,16,120
2,"{Brest, Reims}",57.118300,47.036693,73.992910,77.194289,16,120
2,"{Nice, Strasbourg}",58.141847,47.820383,75.281229,77.232861,16,120
2,"{Monaco, Nantes}",57.689584,47.380806,74.652722,77.277268,16,120
2,"{Le Havre, Nice}",55.054719,45.209829,71.238688,77.282050,16,120
2,"{Monaco, Strasbourg}",58.703075,48.178962,75.942501,77.299371,16,120
2,"{Nantes, Toulouse}",56.165896,46.047181,72.628856,77.332756,16,120
2,"{Brest, Strasbourg}",57.759514,47.275212,74.639849,77.384285,16,120
2,"{Monaco, Reims}",58.340386,47.618341,75.306753,77.470324,16,120
2,"{Nantes, Nice}",57.344072,46.740627,73.979922,77.513021,16,120
2,"{Reims, Toulouse}",56.853617,46.267647,73.300947,77.561913,16,120
2,"{Strasbourg, Toulouse}",57.921259,47.056488,74.626974,77.614374,16,120
2,"{Lille, Strasbourg}",58.447075,47.446843,75.281229,77.638311,16,120
2,"{Lyon, Nantes}",56.964749,46.151577,73.314055,77.699629,16,120
2,"{Brest, Nantes}",57.520198,46.544360,73.992910,77.737446,16,120
2,"{Montpellier, Nantes}",56.470545,45.694092,72.642085,77.738056,16,120
2,"{Auxerre, Marseille}",55.399677,44.764993,71.225198,77.781008,16,120
2,"{Lille, Nantes}",57.547548,46.489876,73.979922,77.788063,16,120
2,"{Reims, Rennes}",56.061993,45.120364,71.963840,77.903003,16,120
2,"{Brest, Le Havre}",55.000541,44.201073,70.560572,77.947980,16,120
2,"{Lyon, Reims}",57.675076,46.331570,73.979922,77.960445,16,120
2,"{Nantes, Rennes}",55.607501,44.592846,71.279142,78.013707,16,120
2,"{Lyon, Strasbourg}",58.210629,46.677469,74.614097,78.015591,16,120
2,"{Le Havre, Monaco}",55.595579,44.564606,71.252175,78.026500,16,120
2,"{Montpellier, Reims}",56.767663,45.324441,72.642085,78.147073,16,120
2,"{Le Havre, Lyon}",55.215293,43.910635,70.546952,78.267440,16,120
2,"{Nantes, St Etienne}",56.329344,44.764690,71.950486,78.289039,16,120
2,"{Brest, Nice}",57.398647,45.589737,73.300947,78.305465,16,120
2,"{Marseille, Nantes}",56.367642,44.737939,71.963840,78.327730,16,120
2,"{Monaco, Nice}",57.992747,45.891465,73.953940,78.417386,16,120
2,"{Le Havre, Toulouse}",54.778193,43.337557,69.848366,78.424444,16,120
2,"{Lille, Nice}",57.486095,45.458287,73.287837,78.438794,16,120
2,"{Lens, Reims}",58.549809,46.272077,74.626974,78.456630,16,120
2,"{Monaco, Toulouse}",56.984286,45.030454,72.628856,78.459568,16,120
2,"{Montpellier, Strasbourg}",57.527981,45.426427,73.300947,78.481907,16,120
2,"{Angers, Reims}",58.062614,45.824010,73.966932,78.498069,16,120
2,"{Brest, Monaco}",57.582548,45.357237,73.300947,78.556350,16,120
2,"{Rennes, Strasbourg}",57.065324,44.927713,72.628856,78.571146,16,120
2,"{Lens, Nantes}",58.118911,45.752588,73.966932,78.574180,16,120
2,"{Nice, Toulouse}",56.514983,44.486915,71.923771,78.576223,16,120
2,"{Le Havre, St Etienne}",53.794578,42.293986,68.429803,78.612791,16,120
2,"{Lens, Strasbourg}",59.234713,46.459792,75.281229,78.684572,16,120
2,"{Lille, Monaco}",58.214150,45.631346,73.966932,78.702940,16,120
2,"{Lille, Toulouse}",57.151629,44.796430,72.615624,78.704315,16,120
2,"{Le Havre, Lille}",55.534373,43.484297,70.533330,78.734937,16,120
2,"{Le Havre, Montpellier}",54.454802,42.607402,69.142723,78.757098,16,120
2,"{Angers, Nantes}",57.772668,45.136122,73.314055,78.801627,16,120
2,"{St Etienne, Strasbourg}",57.753954,45.117490,73.287837,78.804282,16,120
2,"{Nice, Rennes}",55.621843,43.416643,70.560572,78.828504,16,120
2,"{Marseille, Strasbourg}",57.295051,44.634380,72.628856,78.887448,16,120
2,"{Nice, St Etienne}",56.755925,44.200856,71.937130,78.896565,16,120
2,"{Le Havre, Rennes}",54.034136,42.010378,68.443844,78.946671,16,120
2,"{Brest, Lille}",57.371059,44.515058,72.615624,79.006495,16,120
2,"{Angers, Le Havre}",55.197423,42.802322,69.848366,79.024644,16,120
2,"{Marseille, Reims}",56.890661,44.070932,71.963840,79.054509,16,120
2,"{Angers, Nice}",57.940970,44.877066,73.287837,79.059462,16,120
2,"{Angers, Strasbourg}",59.028384,45.659995,74.626974,79.097920,16,120
2,"{Brest, Lyon}",56.914711,43.996208,71.937130,79.117295,16,120
2,"{Brest, Toulouse}",56.935811,43.990747,71.950486,79.131934,16,120
2,"{Monaco, Rennes}",56.961853,43.978876,71.963840,79.153438,16,120
2,"{Lens, Nice}",58.014227,44.782323,73.287837,79.159421,16,120
2,"{Lyon, Toulouse}",56.411723,43.526889,71.252175,79.171930,16,120
2,"{Reims, St Etienne}",58.072073,44.750251,73.314055,79.210014,16,120
2,"{Le Havre, Marseille}",54.224825,41.740942,68.429803,79.241533,16,120
2,"{Monaco, St Etienne}",57.596703,44.244440,72.628856,79.302782,16,120
2,"{Brest, Rennes}",55.462127,42.526606,69.889625,79.356738,16,120
2,"{Le Havre, Lens}",55.989100,42.897219,70.533330,79.379635,16,120
2,"{Lille, Lyon}",57.658413,44.142227,72.615624,79.402214,16,120
2,"{Brest, Marseille}",56.056892,42.875878,70.574189,79.429737,16,120
2,"{Lyon, Rennes}",55.496278,42.436768,69.862122,79.436862,16,120
2,"{Lyon, Monaco}",58.760544,44.925555,73.966932,79.441640,16,120
2,"{Lille, Rennes}",56.631446,43.262844,71.265660,79.465265,16,120
2,"{Auxerre, Paris SG}",54.964290,41.902259,69.114922,79.525938,16,120
2,"{Lyon, Montpellier}",56.664270,43.197603,71.252175,79.526373,16,120
2,"{Lens, Monaco}",58.879651,44.769339,73.966932,79.602668,16,120
2,"{Montpellier, Nice}",56.787253,43.035803,71.252175,79.698974,16,120
2,"{Marseille, Toulouse}",55.685814,42.187750,69.862122,79.708162,16,120
2,"{Brest, St Etienne}",56.253893,42.617082,70.574189,79.708876,16,120
2,"{Lyon, Nice}",58.431810,44.236079,73.287837,79.729205,16,120
2,"{Rennes, Toulouse}",55.716995,42.169354,69.875875,79.737098,16,120
2,"{Marseille, Nice}",56.268696,42.552396,70.546952,79.760633,16,120
2,"{Marseille, Monaco}",56.865770,42.932000,71.252175,79.809171,16,120
2,"{Angers, Brest}",57.497057,43.232385,71.937130,79.926815,16,120
2,"{Brest, Montpellier}",56.407819,42.390473,70.560572,79.942407,16,120
2,"{Angers, Lille}",58.627413,43.976510,73.287837,79.996103,16,120
2,"{Lens, Toulouse}",57.568181,43.137631,71.937130,80.025684,16,120
2,"{Lens, Rennes}",56.498288,42.292547,70.574189,80.055172,16,120
2,"{Brest, Lens}",58.707998,43.890771,73.300947,80.091732,16,120
2,"{Marseille, Rennes}",54.829960,40.989719,68.457882,80.092984,16,120
2,"{Lens, Lille}",59.275187,44.222590,73.953940,80.151493,16,120
2,"{Lens, Montpellier}",57.690820,42.973480,71.937130,80.196166,16,120
2,"{Lens, Lyon}",58.239510,43.372669,72.615624,80.202450,16,120
2,"{Monaco, Montpellier}",57.705060,42.954356,71.937130,80.215961,16,120
2,"{Lille, Montpellier}",57.189727,42.499501,71.252175,80.263834,16,120
2,"{Lille, Marseille}",56.636762,42.061261,70.546952,80.282365,16,120
