cycle_nodes,cycle_edges,vorticity
"Torino,Atalanta,Roma,Torino","(Torino,Atalanta);(Atalanta,Roma);(Roma,Torino)",-21.38629436111989
"Milan,Atalanta,Inter,Milan","(Milan,Atalanta);(Atalanta,Inter);(Inter,Milan)",21.386294361119887
"Parma,Atalanta,Genoa,Parma","(Parma,Atalanta);(Atalanta,Genoa);(Genoa,Parma)",-20.0
"Roma,Atalanta,Parma,Roma","(Roma,Atalanta);(Atalanta,Parma);(Parma,Roma)",20.0
"Milan,Atalanta,Como,Milan","(Milan,Atalanta);(Atalanta,Como);(Como,Milan)",20.0
"Roma,Atalanta,Inter,Roma","(Roma,Atalanta);(Atalanta,Inter);(Inter,Roma)",20.0
"Inter,Atalanta,Genoa,Inter","(Inter,Atalanta);(Atalanta,Genoa);(Genoa,Inter)",-18.61370563888011
"Venezia,Atalanta,Roma,Venezia","(Venezia,Atalanta);(Atalanta,Roma);(Roma,Venezia)",-18.61370563888011
"Venezia,Atalanta,Milan,Venezia","(Venezia,Atalanta);(Atalanta,Milan);(Milan,Venezia)",-18.61370563888011
"Udinese,Atalanta,Roma,Udinese","(Udinese,Atalanta);(Atalanta,Roma);(Roma,Udinese)",-18.61370563888011
"Udinese,Atalanta,Milan,Udinese","(Udinese,Atalanta);(Atalanta,Milan);(Milan,Udinese)",-18.61370563888011
"Udinese,Atalanta,Genoa,Udinese","(Udinese,Atalanta);(Atalanta,Genoa);(Genoa,Udinese)",-18.61370563888011
"Milan,Atalanta,Lecce,Milan","(Milan,Atalanta);(Atalanta,Lecce);(Lecce,Milan)",18.61370563888011
"Roma,Atalanta,Lecce,Roma","(Roma,Atalanta);(Atalanta,Lecce);(Lecce,Roma)",18.61370563888011
"Monza,Atalanta,Inter,Monza","(Monza,Atalanta);(Atalanta,Inter);(Inter,Monza)",18.61370563888011
"Torino,Atalanta,Bologna,Torino","(Torino,Atalanta);(Atalanta,Bologna);(Bologna,Torino)",-12.772588722239782
"Inter,Atalanta,Bologna,Inter","(Inter,Atalanta);(Atalanta,Bologna);(Bologna,Inter)",-12.772588722239782
"Roma,Atalanta,Lazio,Roma","(Roma,Atalanta);(Atalanta,Lazio);(Lazio,Roma)",12.772588722239782
"Juventus,Atalanta,Inter,Juventus","(Juventus,Atalanta);(Atalanta,Inter);(Inter,Juventus)",12.772588722239782
"Torino,Atalanta,Napoli,Torino","(Torino,Atalanta);(Atalanta,Napoli);(Napoli,Torino)",-11.38629436111989
"Torino,Atalanta,Genoa,Torino","(Torino,Atalanta);(Atalanta,Genoa);(Genoa,Torino)",-11.38629436111989
"Parma,Atalanta,Cagliari,Parma","(Parma,Atalanta);(Atalanta,Cagliari);(Cagliari,Parma)",-11.38629436111989
"Parma,Atalanta,Empoli,Parma","(Parma,Atalanta);(Atalanta,Empoli);(Empoli,Parma)",-11.38629436111989
"Lazio,Atalanta,Fiorentina,Lazio","(Lazio,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Lazio)",-11.38629436111989
"Udinese,Atalanta,Parma,Udinese","(Udinese,Atalanta);(Atalanta,Parma);(Parma,Udinese)",11.38629436111989
"Empoli,Atalanta,Como,Empoli","(Empoli,Atalanta);(Atalanta,Como);(Como,Empoli)",11.38629436111989
"Monza,Atalanta,Fiorentina,Monza","(Monza,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Monza)",11.38629436111989
"Juventus,Atalanta,Como,Juventus","(Juventus,Atalanta);(Atalanta,Como);(Como,Juventus)",11.38629436111989
"Verona,Atalanta,Parma,Verona","(Verona,Atalanta);(Atalanta,Parma);(Parma,Verona)",11.38629436111989
"Verona,Atalanta,Milan,Verona","(Verona,Atalanta);(Atalanta,Milan);(Milan,Verona)",-10.0
"Torino,Atalanta,Monza,Torino","(Torino,Atalanta);(Atalanta,Monza);(Monza,Torino)",-10.0
"Cagliari,Atalanta,Bologna,Cagliari","(Cagliari,Atalanta);(Atalanta,Bologna);(Bologna,Cagliari)",-10.0
"Lecce,Atalanta,Genoa,Lecce","(Lecce,Atalanta);(Atalanta,Genoa);(Genoa,Lecce)",-10.0
"Venezia,Atalanta,Bologna,Venezia","(Venezia,Atalanta);(Atalanta,Bologna);(Bologna,Venezia)",-10.0
"Monza,Atalanta,Milan,Monza","(Monza,Atalanta);(Atalanta,Milan);(Milan,Monza)",-10.0
"Inter,Atalanta,Empoli,Inter","(Inter,Atalanta);(Atalanta,Empoli);(Empoli,Inter)",-10.0
"Udinese,Atalanta,Juventus,Udinese","(Udinese,Atalanta);(Atalanta,Juventus);(Juventus,Udinese)",-10.0
"Inter,Atalanta,Fiorentina,Inter","(Inter,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Inter)",-10.0
"Parma,Atalanta,Milan,Parma","(Parma,Atalanta);(Atalanta,Milan);(Milan,Parma)",-10.0
"Monza,Atalanta,Genoa,Monza","(Monza,Atalanta);(Atalanta,Genoa);(Genoa,Monza)",-10.0
"Torino,Atalanta,Milan,Torino","(Torino,Atalanta);(Atalanta,Milan);(Milan,Torino)",-10.0
"Verona,Atalanta,Udinese,Verona","(Verona,Atalanta);(Atalanta,Udinese);(Udinese,Verona)",10.0
"Napoli,Atalanta,Fiorentina,Napoli","(Napoli,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Napoli)",10.0
"Milan,Atalanta,Lazio,Milan","(Milan,Atalanta);(Atalanta,Lazio);(Lazio,Milan)",10.0
"Udinese,Atalanta,Lecce,Udinese","(Udinese,Atalanta);(Atalanta,Lecce);(Lecce,Udinese)",10.0
"Verona,Atalanta,Torino,Verona","(Verona,Atalanta);(Atalanta,Torino);(Torino,Verona)",10.0
"Udinese,Atalanta,Cagliari,Udinese","(Udinese,Atalanta);(Atalanta,Cagliari);(Cagliari,Udinese)",10.0
"Milan,Atalanta,Empoli,Milan","(Milan,Atalanta);(Atalanta,Empoli);(Empoli,Milan)",10.0
"Verona,Atalanta,Napoli,Verona","(Verona,Atalanta);(Atalanta,Napoli);(Napoli,Verona)",10.0
"Verona,Atalanta,Fiorentina,Verona","(Verona,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Verona)",10.0
"Roma,Atalanta,Como,Roma","(Roma,Atalanta);(Atalanta,Como);(Como,Roma)",10.0
"Roma,Atalanta,Cagliari,Roma","(Roma,Atalanta);(Atalanta,Cagliari);(Cagliari,Roma)",10.0
"Empoli,Atalanta,Cagliari,Empoli","(Empoli,Atalanta);(Atalanta,Cagliari);(Cagliari,Empoli)",10.0
"Napoli,Atalanta,Inter,Napoli","(Napoli,Atalanta);(Atalanta,Inter);(Inter,Napoli)",10.0
"Verona,Atalanta,Inter,Verona","(Verona,Atalanta);(Atalanta,Inter);(Inter,Verona)",10.0
"Roma,Atalanta,Fiorentina,Roma","(Roma,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Roma)",10.0
"Verona,Atalanta,Venezia,Verona","(Verona,Atalanta);(Atalanta,Venezia);(Venezia,Verona)",10.0
"Genoa,Atalanta,Bologna,Genoa","(Genoa,Atalanta);(Atalanta,Bologna);(Bologna,Genoa)",10.0
"Genoa,Atalanta,Cagliari,Genoa","(Genoa,Atalanta);(Atalanta,Cagliari);(Cagliari,Genoa)",8.613705638880111
"Venezia,Atalanta,Empoli,Venezia","(Venezia,Atalanta);(Atalanta,Empoli);(Empoli,Venezia)",-8.61370563888011
"Venezia,Atalanta,Genoa,Venezia","(Venezia,Atalanta);(Atalanta,Genoa);(Genoa,Venezia)",-8.61370563888011
"Lecce,Atalanta,Como,Lecce","(Lecce,Atalanta);(Atalanta,Como);(Como,Lecce)",-8.61370563888011
"Napoli,Atalanta,Genoa,Napoli","(Napoli,Atalanta);(Atalanta,Genoa);(Genoa,Napoli)",-8.61370563888011
"Fiorentina,Atalanta,Empoli,Fiorentina","(Fiorentina,Atalanta);(Atalanta,Empoli);(Empoli,Fiorentina)",-8.61370563888011
"Udinese,Atalanta,Monza,Udinese","(Udinese,Atalanta);(Atalanta,Monza);(Monza,Udinese)",-8.61370563888011
"Parma,Atalanta,Monza,Parma","(Parma,Atalanta);(Atalanta,Monza);(Monza,Parma)",-8.61370563888011
"Lecce,Atalanta,Fiorentina,Lecce","(Lecce,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Lecce)",-8.61370563888011
"Monza,Atalanta,Como,Monza","(Monza,Atalanta);(Atalanta,Como);(Como,Monza)",8.61370563888011
"Milan,Atalanta,Cagliari,Milan","(Milan,Atalanta);(Atalanta,Cagliari);(Cagliari,Milan)",8.61370563888011
"Genoa,Atalanta,Como,Genoa","(Genoa,Atalanta);(Atalanta,Como);(Como,Genoa)",8.61370563888011
"Roma,Atalanta,Napoli,Roma","(Roma,Atalanta);(Atalanta,Napoli);(Napoli,Roma)",8.61370563888011
"Roma,Atalanta,Juventus,Roma","(Roma,Atalanta);(Atalanta,Juventus);(Juventus,Roma)",8.61370563888011
"Milan,Atalanta,Bologna,Milan","(Milan,Atalanta);(Atalanta,Bologna);(Bologna,Milan)",8.61370563888011
"Milan,Atalanta,Fiorentina,Milan","(Milan,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Milan)",8.61370563888011
"Fiorentina,Atalanta,Cagliari,Fiorentina","(Fiorentina,Atalanta);(Atalanta,Cagliari);(Cagliari,Fiorentina)",8.61370563888011
"Verona,Atalanta,Bologna,Verona","(Verona,Atalanta);(Atalanta,Bologna);(Bologna,Verona)",8.61370563888011
"Empoli,Atalanta,Bologna,Empoli","(Empoli,Atalanta);(Atalanta,Bologna);(Bologna,Empoli)",8.61370563888011
"Napoli,Atalanta,Lecce,Napoli","(Napoli,Atalanta);(Atalanta,Lecce);(Lecce,Napoli)",8.61370563888011
"Napoli,Atalanta,Cagliari,Napoli","(Napoli,Atalanta);(Atalanta,Cagliari);(Cagliari,Napoli)",8.61370563888011
"Parma,Atalanta,Inter,Parma","(Parma,Atalanta);(Atalanta,Inter);(Inter,Parma)",8.61370563888011
"Verona,Atalanta,Como,Verona","(Verona,Atalanta);(Atalanta,Como);(Como,Verona)",8.61370563888011
"Venezia,Atalanta,Monza,Venezia","(Venezia,Atalanta);(Atalanta,Monza);(Monza,Venezia)",-7.227411277760218
"Udinese,Atalanta,Empoli,Udinese","(Udinese,Atalanta);(Atalanta,Empoli);(Empoli,Udinese)",-7.227411277760218
"Lecce,Atalanta,Empoli,Lecce","(Lecce,Atalanta);(Atalanta,Empoli);(Empoli,Lecce)",-7.227411277760218
"Juventus,Atalanta,Empoli,Juventus","(Juventus,Atalanta);(Atalanta,Empoli);(Empoli,Juventus)",-7.227411277760218
"Lazio,Atalanta,Inter,Lazio","(Lazio,Atalanta);(Atalanta,Inter);(Inter,Lazio)",7.227411277760218
"Monza,Atalanta,Lecce,Monza","(Monza,Atalanta);(Atalanta,Lecce);(Lecce,Monza)",7.227411277760218
"Milan,Atalanta,Juventus,Milan","(Milan,Atalanta);(Atalanta,Juventus);(Juventus,Milan)",7.227411277760218
"Lazio,Atalanta,Cagliari,Lazio","(Lazio,Atalanta);(Atalanta,Cagliari);(Cagliari,Lazio)",7.227411277760218
"Roma,Atalanta,Bologna,Roma","(Roma,Atalanta);(Atalanta,Bologna);(Bologna,Roma)",7.227411277760218
"Verona,Atalanta,Lecce,Verona","(Verona,Atalanta);(Atalanta,Lecce);(Lecce,Verona)",7.227411277760218
"Lazio,Atalanta,Juventus,Lazio","(Lazio,Atalanta);(Atalanta,Juventus);(Juventus,Lazio)",-4.158883083359672
"Torino,Atalanta,Lecce,Torino","(Torino,Atalanta);(Atalanta,Lecce);(Lecce,Torino)",-4.158883083359672
"Torino,Atalanta,Juventus,Torino","(Torino,Atalanta);(Atalanta,Juventus);(Juventus,Torino)",-4.158883083359672
"Udinese,Atalanta,Lazio,Udinese","(Udinese,Atalanta);(Atalanta,Lazio);(Lazio,Udinese)",4.158883083359672
"Como,Atalanta,Bologna,Como","(Como,Atalanta);(Atalanta,Bologna);(Bologna,Como)",-2.7725887222397816
"Torino,Atalanta,Fiorentina,Torino","(Torino,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Torino)",-2.7725887222397816
"Parma,Atalanta,Lecce,Parma","(Parma,Atalanta);(Atalanta,Lecce);(Lecce,Parma)",-2.7725887222397816
"Torino,Atalanta,Cagliari,Torino","(Torino,Atalanta);(Atalanta,Cagliari);(Cagliari,Torino)",-2.7725887222397816
"Lazio,Atalanta,Bologna,Lazio","(Lazio,Atalanta);(Atalanta,Bologna);(Bologna,Lazio)",-2.7725887222397816
"Venezia,Atalanta,Fiorentina,Venezia","(Venezia,Atalanta);(Atalanta,Fiorentina);(Fiorentina,Venezia)",2.7725887222397816
"Lecce,Atalanta,Lazio,Lecce","(Lecce,Atalanta);(Atalanta,Lazio);(Lazio,Lecce)",2.7725887222397816
"Parma,Atalanta,Lazio,Parma","(Parma,Atalanta);(Atalanta,Lazio);(Lazio,Parma)",2.7725887222397816
"Verona,Atalanta,Cagliari,Verona","(Verona,Atalanta);(Atalanta,Cagliari);(Cagliari,Verona)",-1.3862943611198917
"Parma,Atalanta,Como,Parma","(Parma,Atalanta);(Atalanta,Como);(Como,Parma)",-1.3862943611198912
"Udinese,Atalanta,Torino,Udinese","(Udinese,Atalanta);(Atalanta,Torino);(Torino,Udinese)",1.386294361119891
"Genoa,Atalanta,Empoli,Genoa","(Genoa,Atalanta);(Atalanta,Empoli);(Empoli,Genoa)",1.386294361119891
"Venezia,Atalanta,Torino,Venezia","(Venezia,Atalanta);(Atalanta,Torino);(Torino,Venezia)",1.386294361119891
"Verona,Atalanta,Juventus,Verona","(Verona,Atalanta);(Atalanta,Juventus);(Juventus,Verona)",-1.3862943611198908
"Venezia,Atalanta,Juventus,Venezia","(Venezia,Atalanta);(Atalanta,Juventus);(Juventus,Venezia)",-1.3862943611198908
"Monza,Atalanta,Cagliari,Monza","(Monza,Atalanta);(Atalanta,Cagliari);(Cagliari,Monza)",-1.3862943611198908
"Lazio,Atalanta,Genoa,Lazio","(Lazio,Atalanta);(Atalanta,Genoa);(Genoa,Lazio)",-1.3862943611198908
"Inter,Atalanta,Cagliari,Inter","(Inter,Atalanta);(Atalanta,Cagliari);(Cagliari,Inter)",-1.3862943611198908
"Torino,Atalanta,Inter,Torino","(Torino,Atalanta);(Atalanta,Inter);(Inter,Torino)",-1.3862943611198908
"Monza,Atalanta,Bologna,Monza","(Monza,Atalanta);(Atalanta,Bologna);(Bologna,Monza)",-1.3862943611198908
"Parma,Atalanta,Napoli,Parma","(Parma,Atalanta);(Atalanta,Napoli);(Napoli,Parma)",-1.3862943611198908
"Lecce,Atalanta,Juventus,Lecce","(Lecce,Atalanta);(Atalanta,Juventus);(Juventus,Lecce)",-1.3862943611198908
"Lazio,Atalanta,Empoli,Lazio","(Lazio,Atalanta);(Atalanta,Empoli);(Empoli,Lazio)",-1.3862943611198908
"Torino,Atalanta,Como,Torino","(Torino,Atalanta);(Atalanta,Como);(Como,Torino)",-1.3862943611198908
"Torino,Atalanta,Lazio,Torino","(Torino,Atalanta);(Atalanta,Lazio);(Lazio,Torino)",-1.3862943611198908
"Lecce,Atalanta,Bologna,Lecce","(Lecce,Atalanta);(Atalanta,Bologna);(Bologna,Lecce)",-1.3862943611198908
"Torino,Atalanta,Empoli,Torino","(Torino,Atalanta);(Atalanta,Empoli);(Empoli,Torino)",-1.3862943611198908
"Venezia,Atalanta,Lecce,Venezia","(Venezia,Atalanta);(Atalanta,Lecce);(Lecce,Venezia)",-1.3862943611198908
"Verona,Atalanta,Lazio,Verona","(Verona,Atalanta);(Atalanta,Lazio);(Lazio,Verona)",1.3862943611198908
"Venezia,Atalanta,Lazio,Venezia","(Venezia,Atalanta);(Atalanta,Lazio);(Lazio,Venezia)",1.3862943611198908
"Lecce,Atalanta,Inter,Lecce","(Lecce,Atalanta);(Atalanta,Inter);(Inter,Lecce)",1.3862943611198908
"Udinese,Atalanta,Como,Udinese","(Udinese,Atalanta);(Atalanta,Como);(Como,Udinese)",1.3862943611198908
"Monza,Atalanta,Lazio,Monza","(Monza,Atalanta);(Atalanta,Lazio);(Lazio,Monza)",1.3862943611198908
"Venezia,Atalanta,Inter,Venezia","(Venezia,Atalanta);(Atalanta,Inter);(Inter,Venezia)",1.3862943611198908
