Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Inter,1,-4.569315,-2.158708,0.131579
Napoli,2,-3.915888,-0.533002,0.105263
Juventus,3,-2.777259,-0.012638,0.105263
Atalanta,4,-2.777259,0.955349,0.184211
Milan,5,-2.292056,-0.649971,0.184211
Roma,6,-2.207944,0.475520,0.184211
Lazio,7,-2.069315,0.507518,0.236842
Bologna,8,-2.000000,0.533889,0.210526
Fiorentina,9,-1.638629,2.246965,0.342105
Genoa,10,0.707944,1.035908,0.105263
Como,11,0.861371,0.242782,0.210526
Udinese,12,1.138629,1.390005,0.184211
Torino,13,1.361371,0.030339,0.157895
Cagliari,14,1.846574,0.386790,0.105263
Parma,15,2.069315,3.355245,0.210526
Venezia,16,2.415888,-0.200225,0.157895
Verona,17,2.930685,-0.038019,0.289474
Empoli,18,3.069315,-0.855859,0.157895
Lecce,19,3.361371,-0.852779,0.184211
Monza,20,4.485203,-1.570856,0.078947
