k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},60.496268,52.930462,80.383034,75.259995,20,190
1,{Parma},55.883881,54.011889,77.719317,71.904750,19,171
1,{Fiorentina},56.319042,52.707370,77.135604,73.013030,19,171
1,{Udinese},55.524988,50.664357,75.165826,73.869990,19,171
1,{Genoa},56.254493,50.789446,75.790078,74.224087,19,171
1,{Atalanta},56.324969,50.730224,75.802755,74.304646,19,171
1,{Bologna},58.104330,51.671506,77.756400,74.726106,19,171
1,{Lazio},57.127192,50.761956,76.421805,74.752477,19,171
1,{Roma},57.189246,50.767801,76.472083,74.784475,19,171
1,{Cagliari},55.788442,49.391020,74.510557,74.873205,19,171
1,{Como},58.330684,51.415844,77.756400,75.017213,19,171
1,{Torino},57.991350,50.785996,77.085758,75.229656,19,171
1,{Juventus},58.005711,50.731726,77.060823,75.272633,19,171
1,{Verona},57.581960,50.321938,76.472083,75.298014,19,171
1,{Venezia},58.656497,51.006171,77.731680,75.460220,19,171
1,{Napoli},57.453180,49.448860,75.802755,75.792997,19,171
1,{Milan},56.541356,48.487675,74.484760,75.909966,19,171
1,{Lecce},57.676280,49.149373,75.777398,76.112774,19,171
1,{Empoli},58.188247,49.580881,76.446948,76.115854,19,171
1,{Monza},57.721070,48.087565,75.127464,76.830851,19,171
1,{Inter},57.665136,47.145643,74.484760,77.418703,19,171
2,"{Fiorentina, Parma}",51.488226,53.644422,74.355641,69.245891,18,153
2,"{Parma, Udinese}",51.315518,51.918003,72.998366,70.296804,18,153
2,"{Atalanta, Parma}",51.643462,51.554540,72.972034,70.771581,18,153
2,"{Parma, Roma}",52.627743,52.508668,74.342717,70.790718,18,153
2,"{Genoa, Parma}",52.201712,51.942057,73.640994,70.886756,18,153
2,"{Fiorentina, Udinese}",50.973528,50.399107,71.682428,71.110214,18,153
2,"{Bologna, Parma}",53.510214,52.568970,75.012263,71.335288,18,153
2,"{Como, Parma}",53.584347,52.493403,75.012263,71.434117,18,153
2,"{Lazio, Parma}",52.617235,51.502435,73.627944,71.463675,18,153
2,"{Parma, Torino}",53.127838,51.947156,74.303931,71.500709,18,153
2,"{Cagliari, Parma}",51.793353,50.479024,72.323462,71.613486,18,153
2,"{Atalanta, Fiorentina}",51.812549,50.497392,72.350030,71.613722,18,153
2,"{Parma, Verona}",52.773934,51.416663,73.680129,71.625735,18,153
2,"{Parma, Venezia}",53.833170,52.201396,74.986639,71.790350,18,153
2,"{Fiorentina, Genoa}",52.538810,50.717635,73.024688,71.946640,18,153
2,"{Fiorentina, Roma}",52.717567,50.569821,73.051000,72.165428,18,153
2,"{Juventus, Parma}",53.632813,51.406943,74.290998,72.192882,18,153
2,"{Bologna, Fiorentina}",53.718372,51.467110,74.394401,72.207547,18,153
2,"{Napoli, Parma}",52.706712,50.486059,72.985201,72.215615,18,153
2,"{Cagliari, Fiorentina}",51.782673,49.586763,71.695832,72.225500,18,153
2,"{Lecce, Parma}",52.753580,50.398966,72.958865,72.305922,18,153
2,"{Milan, Parma}",51.884814,49.343750,71.601952,72.462847,18,153
2,"{Como, Fiorentina}",53.994912,51.176912,74.394401,72.579269,18,153
2,"{Empoli, Parma}",53.515122,50.606812,73.654041,72.657415,18,153
2,"{Fiorentina, Torino}",53.595226,50.597992,73.706208,72.714670,18,153
2,"{Fiorentina, Juventus}",53.667069,50.483731,73.680129,72.837914,18,153
2,"{Atalanta, Genoa}",52.195821,49.034250,71.615371,72.883545,18,153
2,"{Fiorentina, Lazio}",53.752707,50.392538,73.680129,72.954144,18,153
2,"{Roma, Udinese}",52.296948,49.004876,71.669022,72.970087,18,153
2,"{Atalanta, Udinese}",51.304920,48.002644,70.259865,73.021660,18,153
2,"{Genoa, Udinese}",51.823635,48.444978,70.940856,73.051888,18,153
2,"{Monza, Parma}",52.811513,49.354451,72.283593,73.061550,18,153
2,"{Fiorentina, Lecce}",53.418392,49.771062,73.011528,73.164325,18,153
2,"{Como, Udinese}",52.935552,49.318903,72.350030,73.165902,18,153
2,"{Bologna, Udinese}",53.021124,49.226895,72.350030,73.284177,18,153
2,"{Genoa, Roma}",52.523024,48.723065,71.642201,73.312967,18,153
2,"{Fiorentina, Verona}",53.569772,49.666167,73.051000,73.332017,18,153
2,"{Fiorentina, Napoli}",53.565084,49.651875,73.037845,73.338806,18,153
2,"{Atalanta, Lazio}",52.522388,48.664550,71.601952,73.353290,18,153
2,"{Fiorentina, Venezia}",54.620404,50.489767,74.381483,73.432797,18,153
2,"{Fiorentina, Milan}",52.145910,48.157809,70.981480,73.464107,18,153
2,"{Cagliari, Genoa}",51.117017,47.133612,69.530762,73.517125,18,153
2,"{Genoa, Lazio}",53.137379,48.983823,72.270298,73.525889,18,153
2,"{Atalanta, Cagliari}",51.158940,47.128901,69.558396,73.548189,18,153
2,"{Lazio, Udinese}",52.186150,48.034248,70.927309,73.576949,18,153
2,"{Atalanta, Verona}",53.290344,48.915685,72.336747,73.669810,18,153
2,"{Atalanta, Bologna}",53.825832,49.349618,73.024688,73.709089,18,153
2,"{Torino, Udinese}",52.832951,48.386820,71.642201,73.745571,18,153
2,"{Bologna, Genoa}",53.852724,49.300784,73.011528,73.759207,18,153
2,"{Cagliari, Lazio}",52.354355,47.850859,70.927309,73.814100,18,153
2,"{Cagliari, Udinese}",51.384382,46.903492,69.572209,73.857626,18,153
2,"{Juventus, Udinese}",53.396961,48.740170,72.296885,73.857900,18,153
2,"{Empoli, Fiorentina}",53.953438,49.229599,73.037845,73.870522,18,153
2,"{Udinese, Venezia}",53.437162,48.735541,72.323462,73.886344,18,153
2,"{Como, Genoa}",53.956011,49.187723,73.011528,73.900674,18,153
2,"{Udinese, Verona}",52.475458,47.798501,70.981480,73.928380,18,153
2,"{Genoa, Juventus}",53.932724,49.115532,72.945693,73.935447,18,153
2,"{Bologna, Cagliari}",53.594548,48.621734,72.363310,74.063152,18,153
2,"{Bologna, Lazio}",54.555509,49.483474,73.654041,74.069947,18,153
2,"{Bologna, Roma}",54.613484,49.516606,73.719243,74.083077,18,153
2,"{Genoa, Verona}",53.077679,48.118240,71.642201,74.087170,18,153
2,"{Atalanta, Juventus}",53.555650,48.545959,72.283593,74.091018,18,153
2,"{Atalanta, Como}",54.160221,48.962779,73.011528,74.180369,18,153
2,"{Inter, Parma}",53.143979,48.004988,71.615371,74.207503,18,153
2,"{Genoa, Torino}",53.687225,48.400409,72.283593,74.273045,18,153
