cycle_nodes,cycle_edges,vorticity
"Sociedad,Barcelona,Real Madrid,Sociedad","(Sociedad,Barcelona);(Barcelona,Real Madrid);(Real Madrid,Sociedad)",-20.0
"Las Palmas,Barcelona,Ath Bilbao,Las Palmas","(Las Palmas,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Las Palmas)",-20.0
"Sociedad,Barcelona,Mallorca,Sociedad","(Sociedad,Barcelona);(Barcelona,Mallorca);(Mallorca,Sociedad)",-20.0
"Sociedad,Barcelona,Alaves,Sociedad","(Sociedad,Barcelona);(Barcelona,Alaves);(Alaves,Sociedad)",-20.0
"Villarreal,Barcelona,Real Madrid,Villarreal","(Villarreal,Barcelona);(Barcelona,Real Madrid);(Real Madrid,Villarreal)",-20.0
"Mallorca,Barcelona,Las Palmas,Mallorca","(Mallorca,Barcelona);(Barcelona,Las Palmas);(Las Palmas,Mallorca)",20.0
"Real Madrid,Barcelona,Leganes,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Leganes);(Leganes,Real Madrid)",20.0
"Celta,Barcelona,Ath Bilbao,Celta","(Celta,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Celta)",-18.61370563888011
"Real Madrid,Barcelona,Getafe,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Getafe);(Getafe,Real Madrid)",18.61370563888011
"Espanol,Barcelona,Celta,Espanol","(Espanol,Barcelona);(Barcelona,Celta);(Celta,Espanol)",18.61370563888011
"Vallecano,Barcelona,Celta,Vallecano","(Vallecano,Barcelona);(Barcelona,Celta);(Celta,Vallecano)",18.61370563888011
"Real Madrid,Barcelona,Celta,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Celta);(Celta,Real Madrid)",18.61370563888011
"Real Madrid,Barcelona,Las Palmas,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Las Palmas);(Las Palmas,Real Madrid)",11.386294361119893
"Sociedad,Barcelona,Celta,Sociedad","(Sociedad,Barcelona);(Barcelona,Celta);(Celta,Sociedad)",-11.38629436111989
"Leganes,Barcelona,Ath Bilbao,Leganes","(Leganes,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Leganes)",-11.38629436111989
