Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Barcelona,1,-5.138629,-1.730881,0.157895
Real Madrid,2,-4.277259,-2.019739,0.105263
Ath Madrid,3,-3.277259,-0.346282,0.157895
Villarreal,4,-2.638629,-0.769979,0.157895
Ath Bilbao,5,-1.623832,0.725092,0.078947
Betis,6,-1.500000,1.614582,0.263158
Osasuna,7,-0.861371,0.246242,0.157895
Vallecano,8,-0.069315,0.896613,0.157895
Celta,9,-0.069315,2.016558,0.210526
Mallorca,10,0.569315,-0.086779,0.184211
Getafe,11,0.846574,0.476754,0.236842
Espanol,12,0.846574,2.601635,0.368421
Sociedad,13,1.069315,3.461150,0.236842
Valencia,14,1.292056,0.152074,0.236842
Sevilla,15,1.569315,-1.568482,0.236842
Leganes,16,1.569315,0.874261,0.184211
Girona,17,1.638629,-0.911994,0.236842
Alaves,18,1.861371,1.287089,0.236842
Las Palmas,19,2.415888,1.326671,0.184211
Valladolid,20,5.777259,-3.839669,0.105263
