k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},62.215359,49.578326,79.553513,78.205672,20,190
1,{Sociedad},55.509112,49.336063,74.265125,74.744522,19,171
1,{Espanol},56.673547,49.063851,74.961006,75.604037,19,171
1,{Celta},56.601653,48.118658,74.290998,76.189114,19,171
1,{Betis},59.412329,49.873898,77.570810,76.591090,19,171
1,{Las Palmas},59.118837,49.176722,76.898549,76.879001,19,171
1,{Alaves},58.140410,48.301963,75.586949,76.918583,19,171
1,{Vallecano},58.406068,47.920274,75.548802,77.309059,19,171
1,{Leganes},58.952028,48.333461,76.232966,77.331411,19,171
1,{Ath Bilbao},58.555356,47.777980,75.574236,77.480580,19,171
1,{Getafe},59.255060,47.961474,76.232966,77.728918,19,171
1,{Osasuna},60.935872,48.952659,78.163568,77.959430,19,171
1,{Valencia},60.537138,48.482612,77.558421,78.053598,19,171
1,{Mallorca},58.688809,46.634494,74.961006,78.292451,19,171
1,{Ath Madrid},59.414956,46.807447,75.637783,78.551954,19,171
1,{Villarreal},59.190818,45.974750,74.948186,78.975651,19,171
1,{Girona},60.343654,46.646264,76.270771,79.117666,19,171
1,{Sevilla},60.814203,45.968443,76.232966,79.774154,19,171
1,{Barcelona},58.331329,43.844884,72.972034,79.936553,19,171
1,{Real Madrid},58.520982,43.547317,72.945693,80.225411,19,171
1,{Valladolid},59.283503,41.310295,72.257001,82.045341,19,171
2,"{Betis, Sociedad}",52.115809,49.877052,72.137215,72.245385,18,153
2,"{Espanol, Sociedad}",50.687698,48.336910,70.040700,72.368920,18,153
2,"{Celta, Sociedad}",50.184296,47.825058,69.323154,72.391824,18,153
2,"{Las Palmas, Sociedad}",51.968205,49.001650,71.427278,72.756805,18,153
2,"{Ath Bilbao, Sociedad}",51.512184,47.396509,69.999530,73.589329,18,153
2,"{Sociedad, Vallecano}",51.541872,47.323631,69.972070,73.660636,18,153
2,"{Betis, Espanol}",54.186383,49.713754,73.536532,73.686346,18,153
2,"{Espanol, Las Palmas}",53.165597,48.756509,72.137215,73.700651,18,153
2,"{Getafe, Sociedad}",52.186496,47.712722,70.710213,73.803336,18,153
2,"{Alaves, Sociedad}",52.192729,47.705904,70.710213,73.812150,18,153
2,"{Leganes, Sociedad}",52.734017,48.136638,71.400367,73.856787,18,153
2,"{Alaves, Celta}",51.824312,47.116243,70.040700,73.991710,18,153
2,"{Espanol, Leganes}",52.900168,48.014061,71.440730,74.047631,18,153
2,"{Ath Bilbao, Espanol}",52.400373,47.518194,70.737387,74.077338,18,153
2,"{Celta, Espanol}",52.021483,46.939414,70.068133,74.244141,18,153
2,"{Betis, Celta}",53.625118,48.310351,72.177166,74.296513,18,153
2,"{Sociedad, Valencia}",53.617671,48.239003,72.123894,74.341065,18,153
2,"{Celta, Las Palmas}",53.212076,47.688307,71.454179,74.470208,18,153
2,"{Osasuna, Sociedad}",54.707705,49.022012,73.458087,74.474720,18,153
2,"{Alaves, Espanol}",53.234942,47.642615,71.440730,74.516235,18,153
2,"{Espanol, Getafe}",53.407347,47.429013,71.427278,74.771640,18,153
2,"{Ath Madrid, Sociedad}",52.429530,46.483198,70.068133,74.826498,18,153
2,"{Mallorca, Sociedad}",52.457734,46.409975,70.040700,74.896074,18,153
2,"{Espanol, Vallecano}",53.490436,47.294669,71.400367,74.916191,18,153
2,"{Betis, Las Palmas}",56.175176,49.478555,74.858385,75.041929,18,153
2,"{Celta, Leganes}",53.103213,46.710864,70.723801,75.085349,18,153
2,"{Sociedad, Villarreal}",52.182309,45.636677,69.323154,75.273997,18,153
2,"{Celta, Vallecano}",53.221907,46.534299,70.696622,75.282108,18,153
