Node,total_upsets,total_games,rate
Alaves,9,38,0.236842
Ath Bilbao,3,38,0.078947
Ath Madrid,6,38,0.157895
Barcelona,6,38,0.157895
Betis,10,38,0.263158
Celta,8,38,0.210526
Espanol,14,38,0.368421
Getafe,9,38,0.236842
Girona,9,38,0.236842
Las Palmas,7,38,0.184211
Leganes,7,38,0.184211
Mallorca,7,38,0.184211
Osasuna,6,38,0.157895
Real Madrid,4,38,0.105263
Sevilla,9,38,0.236842
Sociedad,9,38,0.236842
Valencia,9,38,0.236842
Valladolid,4,38,0.105263
Vallecano,6,38,0.157895
Villarreal,6,38,0.157895
