Player,Intransitivity_Centrality
Sinner J.,-3.329317
Alcaraz C.,-2.068373
Djokovic N.,-1.977653
Popyrin A.,-0.99692
Machac T.,-0.885788
Paul T.,-0.882327
Shapovalov D.,-0.508268
Korda S.,-0.447787
Bublik A.,-0.360849
Davidovich Fokina A.,-0.119587
Cobolli F.,0.131312
Tiafoe F.,0.160892
Hurkacz H.,0.161433
Cerundolo F.,0.169294
Fils A.,0.218468
Medvedev D.,0.268815
Dimitrov G.,0.451531
De Minaur A.,0.507002
Tsitsipas S.,0.556797
Humbert U.,0.640422
Fritz T.,0.705461
Lehecka J.,0.847565
Rune H.,0.933577
Ruud C.,1.277959
Draper J.,1.437238
