Node,total_upsets,total_games,rate
Acasuso J.,15,36,0.416667
Agassi A.,9,43,0.209302
Almagro N.,5,24,0.208333
Ancic M.,15,51,0.294118
Andreev I.,19,53,0.358491
Arthurs W.,8,21,0.380952
Ascione T.,0,2,0.000000
Baghdatis M.,7,14,0.500000
Beck K.,10,32,0.312500
Behrend T.,6,11,0.545455
Benneteau J.,2,10,0.200000
Berdych T.,15,48,0.312500
Bjorkman J.,10,21,0.476190
Blake J.,2,23,0.086957
Bracciali D.,2,5,0.400000
Burgsmuller L.,4,12,0.333333
Calatrava A.,0,11,0.000000
Calleri A.,11,30,0.366667
Canas G.,4,24,0.166667
Carlsen K.,6,25,0.240000
Carraz G.,1,2,0.500000
Chela J.I.,13,44,0.295455
Clement A.,3,9,0.333333
Coria G.,14,63,0.222222
Costa A.,5,18,0.277778
Davydenko N.,18,63,0.285714
Dent T.,13,37,0.351351
Djokovic N.,3,8,0.375000
Dlouhy L.,1,3,0.333333
Dupuis A.,2,3,0.666667
Enqvist T.,4,13,0.307692
Federer R.,3,73,0.041096
Ferrer D.,17,53,0.320755
Ferrero J.C.,17,63,0.269841
Fish M.,1,11,0.090909
Garcia-Lopez G.,7,29,0.241379
Gasquet R.,5,28,0.178571
Gaudio G.,15,59,0.254237
Gimelstob J.,0,4,0.000000
Ginepri R.,11,44,0.250000
Goldstein P.,4,8,0.500000
Gonzalez F.,10,51,0.196078
Grosjean S.,11,40,0.275000
Haas T.,12,41,0.292683
Haehnel J.,1,6,0.166667
Hanescu V.,8,34,0.235294
Henman T.,12,33,0.363636
Hernandez O.,3,11,0.272727
Hernych J.,10,30,0.333333
Hewitt L.,7,35,0.200000
Horna L.,14,31,0.451613
Hrbaty D.,20,51,0.392157
Johansson J.,8,23,0.347826
Johansson T.,15,54,0.277778
Karlovic I.,14,32,0.437500
Kiefer N.,14,42,0.333333
Kim K.,8,29,0.275862
Kohlschreiber P.,4,25,0.160000
Koubek S.,2,8,0.250000
Kuerten G.,2,3,0.666667
Labadze I.,2,4,0.500000
Lapentti N.,5,11,0.454545
Lee H.T.,6,20,0.300000
Lisnard J.R.,5,7,0.714286
Ljubicic I.,19,66,0.287879
Llodra M.,5,19,0.263158
Lopez F.,13,44,0.295455
Lu Y.H.,1,2,0.500000
Malisse X.,7,32,0.218750
Mantilla F.,3,15,0.200000
Martin A.,18,43,0.418605
Massu N.,9,28,0.321429
Mathieu P.,0,3,0.000000
Mathieu P.H.,11,32,0.343750
Mayer F.,16,37,0.432432
Mello R.,4,22,0.181818
Melzer J.,15,36,0.416667
Minar I.,4,12,0.333333
Mirnyi M.,19,48,0.395833
Monaco J.,11,32,0.343750
Monfils G.,15,25,0.600000
Montanes A.,6,18,0.333333
Moodie W.,5,10,0.500000
Morrison J.,0,1,0.000000
Moya C.,9,31,0.290323
Muller G.,12,31,0.387097
Murray A.,0,3,0.000000
Nadal R.,8,77,0.103896
Nalbandian D.,19,48,0.395833
Nieminen J.,10,30,0.333333
Novak J.,10,33,0.303030
Pavel A.,7,25,0.280000
Phau B.,2,7,0.285714
Puerta M.,16,46,0.347826
Robredo T.,14,44,0.318182
Rochus C.,11,26,0.423077
Rochus O.,16,53,0.301887
Roddick A.,10,55,0.181818
Rusedski G.,9,33,0.272727
Sabau R.,1,12,0.083333
Safin M.,7,27,0.259259
Sanchez D.,4,7,0.571429
Sanguinetti D.,13,37,0.351351
Santoro F.,13,33,0.393939
Sargsian S.,2,7,0.285714
Saulnier C.,8,30,0.266667
Schalken S.,3,13,0.230769
Schuettler R.,6,26,0.230769
Seppi A.,7,21,0.333333
Serra F.,7,14,0.500000
Sluiter R.,3,6,0.500000
Soderling R.,16,27,0.592593
Spadea V.,13,30,0.433333
Srichaphan P.,19,45,0.422222
Stakhovsky S.,2,3,0.666667
Starace P.,10,22,0.454545
Stepanek R.,18,55,0.327273
Tabara M.,2,6,0.333333
Tipsarevic J.,2,5,0.400000
Tursunov D.,2,4,0.500000
Ulihrach B.,0,3,0.000000
Vanek J.,1,12,0.083333
Ventura S.,3,13,0.230769
Verdasco F.,19,51,0.372549
Vik R.,4,9,0.444444
Vliegen K.,0,1,0.000000
Volandri F.,14,41,0.341463
Wang Y.T.,0,2,0.000000
Waske A.,1,1,1.000000
Wawrinka S.,7,16,0.437500
Wessels P.,3,11,0.272727
Youzhny M.,8,35,0.228571
Zabaleta M.,11,28,0.392857
Zib T.,11,30,0.366667
di Mauro A.,2,4,0.500000
