k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},84.851879,75.503666,113.581006,74.706046,32,140
1,{Rublev A.},77.745515,75.870151,108.630773,71.568592,31,129
1,{Shelton B.},77.379936,74.249514,107.241060,72.155140,31,126
1,{Auger-Aliassime F.},79.793948,75.720345,110.002931,72.538020,31,131
1,{Zverev A.},78.733483,74.170095,108.167298,72.788619,31,125
1,{Mensik J.},81.557714,76.478651,111.806283,72.945556,31,136
1,{Musetti L.},79.007921,73.880940,108.169519,73.040836,31,126
1,{Khachanov K.},79.773975,74.409393,109.090077,73.126701,31,130
1,{Draper J.},80.264114,74.554120,109.547455,73.268808,31,130
1,{Ruud C.},80.102756,74.055340,109.090077,73.428087,31,129
1,{Rune H.},81.151878,74.263164,110.002931,73.772469,31,132
1,{Lehecka J.},81.915165,74.769984,110.908272,73.858481,31,133
1,{Fritz T.},79.703285,72.443297,107.706290,74.000585,31,127
1,{Humbert U.},82.144904,74.517512,110.908272,74.065624,31,134
1,{Tsitsipas S.},82.571256,74.717017,111.358183,74.149249,31,134
1,{De Minaur A.},79.225140,71.582274,106.773802,74.199044,31,124
1,{Dimitrov G.},82.354400,74.285919,110.908272,74.254515,31,134
1,{Medvedev D.},81.881510,73.454630,110.000747,74.437231,31,130
1,{Fils A.},82.612886,73.998351,110.908272,74.487578,31,133
1,{Cerundolo F.},81.992612,73.333869,110.002931,74.536752,31,131
1,{Hurkacz H.},83.678261,74.823749,112.252594,74.544613,31,137
1,{Tiafoe F.},82.339990,73.625885,110.456529,74.545154,31,133
1,{Cobolli F.},82.372663,73.589329,110.456529,74.574734,31,133
1,{Davidovich Fokina A.},83.993714,74.469463,112.252594,74.825633,31,137
1,{Bublik A.},83.255397,73.274714,110.908272,75.066895,31,134
1,{Korda S.},84.362127,74.051850,112.252594,75.153833,31,136
1,{Shapovalov D.},84.764379,74.267388,112.697138,75.214314,31,138
1,{Paul T.},82.112234,71.121206,108.630773,75.588373,31,129
1,{Machac T.},84.516420,73.195762,111.806283,75.591834,31,136
1,{Popyrin A.},84.640672,73.052046,111.806283,75.702966,31,136
1,{Djokovic N.},84.005041,70.312147,109.547455,76.683699,31,130
1,{Alcaraz C.},81.974375,68.415512,106.773032,76.774419,31,121
1,{Sinner J.},84.048399,67.352410,107.705527,78.035363,31,126
2,"{Rublev A., Shelton B.}",70.202074,74.647932,102.472654,68.508105,30,116
2,"{Musetti L., Rublev A.}",70.907173,74.651307,102.959433,68.869040,30,115
2,"{Mensik J., Rublev A.}",74.007533,76.964472,106.773802,69.312445,30,125
2,"{Rublev A., Zverev A.}",71.384853,74.191423,102.957100,69.334561,30,114
2,"{Rublev A., Ruud C.}",72.166577,74.783889,103.926151,69.440248,30,118
2,"{Khachanov K., Rublev A.}",72.173988,74.776736,103.926151,69.447379,30,119
2,"{Auger-Aliassime F., Rublev A.}",73.769576,75.224295,105.359598,70.016949,30,121
2,"{Auger-Aliassime F., Shelton B.}",72.805063,74.162441,103.926151,70.054613,30,118
2,"{Khachanov K., Shelton B.}",72.160508,73.440492,102.959433,70.086350,30,117
2,"{Musetti L., Shelton B.}",71.495057,72.726210,101.983552,70.104498,30,113
2,"{Auger-Aliassime F., Khachanov K.}",73.925784,75.070789,105.359598,70.165211,30,121
2,"{Auger-Aliassime F., Zverev A.}",73.595010,74.725758,104.881669,70.169564,30,117
2,"{Draper J., Shelton B.}",72.730499,73.558952,103.443921,70.309109,30,117
2,"{Rublev A., Tsitsipas S.}",74.755253,75.579739,106.304491,70.321820,30,123
2,"{Auger-Aliassime F., Draper J.}",74.450139,75.218493,105.833099,70.346744,30,121
2,"{Auger-Aliassime F., Mensik J.}",76.141567,76.831677,108.169519,70.390964,30,127
2,"{Ruud C., Shelton B.}",72.196289,72.720979,102.472654,70.454200,30,115
2,"{Ruud C., Zverev A.}",72.879891,73.407670,103.441599,70.455108,30,114
2,"{Musetti L., Zverev A.}",72.229563,72.684624,102.470310,70.488284,30,112
2,"{Rublev A., Rune H.}",73.988519,74.339383,104.883959,70.543217,30,121
2,"{Lehecka J., Rublev A.}",74.696960,74.973388,105.833099,70.579961,30,122
2,"{Humbert U., Rublev A.}",74.707572,74.962815,105.833099,70.589988,30,123
2,"{Shelton B., Zverev A.}",71.991580,72.231412,101.981196,70.592994,30,112
2,"{Mensik J., Zverev A.}",75.287632,75.046231,106.302231,70.824132,30,121
2,"{Auger-Aliassime F., Musetti L.}",73.993552,73.658666,104.406153,70.870873,30,118
2,"{Auger-Aliassime F., Ruud C.}",74.681385,74.319147,105.359598,70.882375,30,120
2,"{Draper J., Zverev A.}",73.678904,73.291088,103.923839,70.897018,30,115
2,"{Fritz T., Shelton B.}",71.969371,71.561543,101.492093,70.911309,30,114
2,"{Rune H., Shelton B.}",73.367083,72.924043,103.443921,70.924499,30,118
2,"{Draper J., Musetti L.}",74.057265,73.594608,104.406153,70.931897,30,117
2,"{Fritz T., Rublev A.}",73.047687,72.558117,102.959433,70.948027,30,117
2,"{Lehecka J., Shelton B.}",74.123762,73.527632,104.406153,70.995588,30,119
2,"{Dimitrov G., Rublev A.}",75.165082,74.504062,105.833099,71.022282,30,123
2,"{Fils A., Rublev A.}",75.520112,74.815490,106.304491,71.041318,30,123
2,"{Cerundolo F., Rublev A.}",74.605806,73.719865,104.883959,71.131760,30,120
2,"{Khachanov K., Musetti L.}",73.589278,72.699814,103.443921,71.139297,30,116
2,"{Draper J., Mensik J.}",76.622811,75.694054,107.706290,71.140516,30,126
2,"{De Minaur A., Shelton B.}",71.526145,70.602093,100.501964,71.168902,30,111
2,"{Khachanov K., Mensik J.}",76.351726,75.306433,107.241060,71.196356,30,126
2,"{Humbert U., Shelton B.}",74.334604,73.314470,104.406153,71.197532,30,120
2,"{Medvedev D., Rublev A.}",74.689481,73.631826,104.881669,71.213094,30,119
2,"{Mensik J., Musetti L.}",75.703505,74.629915,106.304491,71.213835,30,122
2,"{Rublev A., Tiafoe F.}",75.211907,73.782206,105.359598,71.385909,30,122
2,"{Fils A., Shelton B.}",74.532250,73.113532,104.406153,71.386837,30,119
2,"{Auger-Aliassime F., Rune H.}",75.889967,74.440297,106.304491,71.389238,30,123
2,"{Auger-Aliassime F., Lehecka J.}",76.893579,75.418979,107.706290,71.391911,30,125
2,"{Mensik J., Ruud C.}",76.633799,75.019369,107.241060,71.459383,30,125
2,"{Dimitrov G., Shelton B.}",74.656337,72.986823,104.406153,71.505686,30,120
2,"{Auger-Aliassime F., Humbert U.}",76.721554,74.929621,107.241060,71.541212,30,125
2,"{Draper J., Rublev A.}",75.065137,73.252099,104.883959,71.569702,30,120
2,"{Auger-Aliassime F., De Minaur A.}",73.709765,71.885433,102.959433,71.591075,30,115
2,"{Musetti L., Ruud C.}",74.060737,72.219471,103.443921,71.595060,30,115
2,"{Rune H., Zverev A.}",74.759582,72.877770,104.403852,71.606152,30,117
2,"{Medvedev D., Zverev A.}",74.784829,72.851862,104.403852,71.630335,30,116
2,"{Shelton B., Tsitsipas S.}",75.172217,73.142208,104.883959,71.671796,30,120
2,"{Draper J., Khachanov K.}",75.183766,73.130337,104.883959,71.682807,30,120
2,"{Davidovich Fokina A., Rublev A.}",76.912473,74.733636,107.241060,71.719240,30,126
2,"{De Minaur A., Rublev A.}",73.155411,71.055828,101.983552,71.732559,30,114
2,"{Khachanov K., Rune H.}",75.620202,73.363682,105.359598,71.773435,30,122
2,"{Medvedev D., Shelton B.}",74.285690,71.984725,103.441599,71.814135,30,116
