cycle_nodes,cycle_edges,vorticity
"Dolgopolov O.,Schuettler R.,Gimeno-Traver D.,Beck A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Chardy J.,Dolgopolov O.","(Dolgopolov O.,Schuettler R.);(Schuettler R.,Gimeno-Traver D.);(Gimeno-Traver D.,Beck A.);(Beck A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Chardy J.);(Chardy J.,Dolgopolov O.)",-70.0
"Youzhny M.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Serra F.,Lacko L.,Youzhny M.","(Youzhny M.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Serra F.);(Serra F.,Lacko L.);(Lacko L.,Youzhny M.)",70.0
"Tipsarevic J.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Beck A.,Gimeno-Traver D.,Schuettler R.,Devvarman S.,Tipsarevic J.","(Tipsarevic J.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Beck A.);(Beck A.,Gimeno-Traver D.);(Gimeno-Traver D.,Schuettler R.);(Schuettler R.,Devvarman S.);(Devvarman S.,Tipsarevic J.)",69.99999999999999
"Schuettler R.,Gimeno-Traver D.,Beck A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Marchenko I.,Schuettler R.","(Schuettler R.,Gimeno-Traver D.);(Gimeno-Traver D.,Beck A.);(Beck A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Marchenko I.);(Marchenko I.,Schuettler R.)",-60.00000000000001
"Verdasco F.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Chardy J.,Verdasco F.","(Verdasco F.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Chardy J.);(Chardy J.,Verdasco F.)",-60.0
"Zemlja G.,Ilhan M.,Bellucci T.,Fischer M.,Seppi A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Gabashvili T.,Zemlja G.","(Zemlja G.,Ilhan M.);(Ilhan M.,Bellucci T.);(Bellucci T.,Fischer M.);(Fischer M.,Seppi A.);(Seppi A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Gabashvili T.);(Gabashvili T.,Zemlja G.)",-60.0
"Petzschner P.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Chardy J.,Petzschner P.","(Petzschner P.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Chardy J.);(Chardy J.,Petzschner P.)",-60.0
"Tsonga J.W.,Ouanna J.,Levy H.,Bellucci T.,Fischer M.,Seppi A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Gabashvili T.,Haas T.,Tsonga J.W.","(Tsonga J.W.,Ouanna J.);(Ouanna J.,Levy H.);(Levy H.,Bellucci T.);(Bellucci T.,Fischer M.);(Fischer M.,Seppi A.);(Seppi A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Gabashvili T.);(Gabashvili T.,Haas T.);(Haas T.,Tsonga J.W.)",-60.0
"Monfils G.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Greul S.,Monfils G.","(Monfils G.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Greul S.);(Greul S.,Monfils G.)",-60.0
"Roddick A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Gabashvili T.,Roddick A.","(Roddick A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Gabashvili T.);(Gabashvili T.,Roddick A.)",-60.0
"Seppi A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Marchenko I.,Seppi A.","(Seppi A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Marchenko I.);(Marchenko I.,Seppi A.)",-60.0
