Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Nadal R.,1,-12.857071,-0.407792,0.118421
Federer R.,2,-12.687135,-0.479318,0.171053
Djokovic N.,3,-11.726910,-0.261524,0.173913
Murray A.,4,-10.765635,-0.176722,0.262295
Soderling R.,5,-10.628109,-0.132418,0.260274
Nalbandian D.,6,-10.604242,-0.142269,0.181818
Wawrinka S.,7,-10.231110,,0.122449
Ferrer D.,8,-9.718220,-0.143050,0.223684
Tsonga J.W.,9,-9.539810,-0.146058,0.238095
Roddick A.,10,-9.384029,,0.250000
Fish M.,11,-9.344983,-0.093965,0.297872
Verdasco F.,12,-8.839027,0.081156,0.349206
Monfils G.,13,-8.416095,,0.254237
Isner J.,14,-8.212838,-0.048540,0.214286
Gasquet R.,15,-8.069162,-0.045825,0.214286
Almagro N.,16,-7.888686,0.011027,0.327869
Youzhny M.,17,-7.865601,0.148893,0.283019
El Amrani R.,18,-7.670117,-0.037516,0.000000
Ljubicic I.,19,-7.625838,,0.428571
Davydenko N.,20,-7.579234,0.431553,0.466667
Gulbis E.,21,-7.578877,-0.035929,0.204545
Schukin Y.,22,-7.552000,0.020463,0.333333
Berdych T.,23,-7.549931,0.165588,0.370968
Melzer J.,24,-7.485125,,0.333333
Haider-Maurer A.,25,-7.272546,-0.001824,0.285714
Cilic M.,26,-7.249851,,0.305085
Karlovic I.,27,-7.162413,-0.012714,0.173913
Ferrero J.C.,28,-6.722970,0.049480,0.302326
Baghdatis M.,29,-6.598571,0.235979,0.393939
Montanes A.,30,-6.351016,,0.314815
Llodra M.,31,-6.338004,0.348433,0.386364
Monaco J.,32,-6.277417,,0.333333
Troicki V.,33,-6.260410,-0.045813,0.232143
Kohlschreiber P.,34,-6.168033,,0.250000
Hewitt L.,35,-6.162616,0.074296,0.280000
Garcia-Lopez G.,36,-6.029558,0.245577,0.294118
Benneteau J.,37,-5.931791,0.110987,0.400000
Bellucci T.,38,-5.820298,,0.236364
Querrey S.,39,-5.805843,0.089681,0.333333
Mayer F.,40,-5.767625,0.522151,0.542857
Sergeyev I.,41,-5.570611,-0.013529,0.000000
Simon G.,42,-5.302180,,0.368421
Lopez F.,43,-5.301363,,0.200000
Stepanek R.,44,-5.144301,0.166067,0.321429
Gonzalez F.,45,-5.055939,0.056555,0.285714
De Bakker T.,46,-4.870735,0.176044,0.279070
Ouanna J.,47,-4.853189,,0.111111
Berankis R.,48,-4.845894,-0.044291,0.000000
Chela J.I.,49,-4.818131,-0.026606,0.291667
Kamke T.,50,-4.764993,0.063680,0.200000
Meffert D.,51,-4.674081,0.052101,1.000000
Stakhovsky S.,52,-4.656889,0.284135,0.386364
Ebden M.,53,-4.656794,0.015203,0.333333
Kukushkin M.,54,-4.599442,0.029025,0.263158
Petzschner P.,55,-4.553008,,0.307692
Malisse X.,56,-4.493277,0.326880,0.404762
Chardy J.,57,-4.446657,0.157118,0.428571
Golubev A.,58,-4.233630,0.378088,0.378378
Tipsarevic J.,59,-4.197433,0.245834,0.325000
Souza J.,60,-4.051459,-0.015471,0.400000
Hanescu V.,61,-3.794430,0.269299,0.363636
Istomin D.,62,-3.679817,0.270375,0.294118
Tavares L.,63,-3.628951,-0.004548,0.000000
Reister J.,64,-3.575766,0.000085,0.200000
Del Potro J.M.,65,-3.518693,0.041844,0.333333
Dodig I.,66,-3.469559,0.096442,0.333333
Klizan M.,67,-3.457887,-0.014214,0.000000
Nieminen J.,68,-3.454732,0.054489,0.326531
Andreev I.,69,-3.425242,0.133718,0.371429
Dolgopolov O.,70,-3.419581,0.193839,0.275000
Gimeno-Traver D.,71,-3.277352,0.031795,0.351351
Dabul B.,72,-3.252566,0.024379,0.375000
Anderson K.,73,-3.188182,-0.005261,0.266667
Granollers M.,74,-3.186040,0.027394,0.350000
Starace P.,75,-3.159317,0.179099,0.326087
Odesnik W.,76,-3.075305,,0.307692
Robredo T.,77,-2.976022,0.170356,0.410256
Seppi A.,78,-2.969813,0.109485,0.254902
Gil F.,79,-2.918916,0.056154,0.250000
Sijsling I.,80,-2.855382,-0.011896,0.000000
Serra F.,81,-2.835587,-0.046834,0.304348
Smyczek T.,82,-2.811837,-0.020446,0.000000
Raonic M.,83,-2.781514,0.033610,0.571429
Cuevas P.,84,-2.752707,,0.325000
Koubek S.,85,-2.743963,0.039045,0.571429
Ball C.,86,-2.652894,-0.023300,0.222222
Berlocq C.,87,-2.626709,0.027099,0.500000
Lacko L.,88,-2.625191,0.286469,0.323529
Falla A.,89,-2.575451,0.174018,0.375000
Berrer M.,90,-2.544089,0.135764,0.400000
Becker B.,91,-2.437147,,0.384615
Zemlja G.,92,-2.388226,0.031908,0.428571
Levy H.,93,-2.337163,0.033826,0.333333
Sela D.,94,-2.302195,,0.419355
Blake J.,95,-2.260077,0.158007,0.310345
Skugor F.,96,-2.036769,0.008127,0.500000
Giraldo S.,97,-2.034542,,0.270270
Korolev E.,98,-1.985932,0.059653,0.366667
Dent T.,99,-1.983725,,0.275862
Polansky P.,100,-1.977114,0.136644,1.000000
Gabashvili T.,101,-1.849579,0.056778,0.375000
Nishikori K.,102,-1.755625,0.015389,0.250000
Clement A.,103,-1.635809,,0.368421
Kubot L.,104,-1.555491,,0.351351
Zverev M.,105,-1.516162,0.096083,0.400000
Tursunov D.,106,-1.505200,-0.021964,0.142857
Mayer L.,107,-1.472106,0.210060,0.466667
Mathieu P.H.,108,-1.439279,0.253064,0.555556
Mahut N.,109,-1.396082,-0.051528,0.111111
Lammer M.,110,-1.390589,,0.000000
Schuettler R.,111,-1.386156,0.252068,0.500000
Mello R.,112,-1.228344,0.047877,0.312500
Ungur A.,113,-1.218779,0.048334,0.500000
Haase R.,114,-1.218018,0.012368,0.300000
Chiudinelli M.,115,-1.202348,-0.009554,0.297297
Kontinen H.,116,-1.184605,0.008294,0.500000
Rochus O.,117,-1.105744,0.310161,0.451613
Darcis S.,118,-1.022960,0.059041,0.428571
Hajek J.,119,-0.929663,-0.117886,0.250000
Greul S.,120,-0.928076,0.164897,0.305556
Andujar P.,121,-0.909743,,0.400000
Ginepri R.,122,-0.860186,0.121849,0.578947
Haas T.,123,-0.781332,0.019530,0.333333
Lu Y.H.,124,-0.757890,-0.032467,0.166667
Devvarman S.,125,-0.725438,,0.294118
Robert S.,126,-0.697731,,0.428571
Volandri F.,127,-0.653958,0.089544,0.375000
Machado R.,128,-0.646681,-0.043290,0.400000
Martin A.,129,-0.639546,,0.333333
Young D.,130,-0.566473,-0.040294,0.222222
Schwank E.,131,-0.425928,,0.241379
Luczak P.,132,-0.340407,-0.012119,0.333333
Di Mauro A.,133,-0.231110,-0.021619,0.000000
Fognini F.,134,-0.217853,0.018379,0.324324
Bozoljac I.,135,-0.202435,-0.016441,0.333333
Gicquel M.,136,-0.178680,0.098158,0.333333
Mertens Y.,137,-0.160941,0.038780,0.500000
Mannarino A.,138,-0.139984,-0.000254,0.333333
Harrison R.,139,-0.098875,0.018043,0.250000
Zeballos H.,140,-0.068520,,0.400000
Matosevic M.,141,-0.012494,0.042329,0.750000
Delgado R.,142,0.011338,-0.013446,0.333333
Brown D.,143,0.067937,0.067491,0.357143
Sorensen L.,144,0.110514,0.003056,0.333333
Tomic B.,145,0.121864,-0.039535,0.250000
Marchenko I.,146,0.381053,0.051950,0.354839
Brands D.,147,0.412276,0.055616,0.250000
Ilhan M.,148,0.436947,-0.019151,0.181818
Bachinger M.,149,0.473146,0.007967,0.333333
Phau B.,150,0.532255,0.125056,0.368421
Kiefer N.,151,0.552681,0.082504,0.750000
Russell M.,152,0.572501,,0.352941
Rufin G.,153,0.607781,0.076486,0.714286
Ito T.,154,0.615971,-0.021619,0.000000
Sweeting R.,155,0.685085,0.046024,0.333333
Beck A.,156,0.722620,0.012903,0.350000
Kunitsyn I.,157,0.751514,-0.066420,0.315789
Donskoy E.,158,0.780326,-0.041868,0.000000
Ramos-Vinolas A.,159,1.200602,0.075593,0.500000
Riba P.,160,1.382177,0.081926,0.315789
Gonzalez M.,161,1.486382,-0.014783,0.166667
Kendrick R.,162,1.488406,-0.064274,0.000000
Lapentti N.,163,1.516865,-0.043217,0.428571
Ram R.,164,1.569737,-0.154634,0.272727
Hrbaty D.,165,1.583905,-0.021619,0.000000
Muller G.,166,1.674227,-0.039623,0.250000
Bolelli S.,167,1.715374,-0.039495,0.214286
Kindlmann D.,168,2.002336,-0.043141,0.000000
Levine J.,169,2.030744,-0.038010,0.166667
Yang T.H.,170,2.151019,-0.043169,0.000000
Paire B.,171,2.161572,-0.022774,0.400000
Kubler J.,172,2.374162,-0.021619,0.000000
Hernych J.,173,2.374162,-0.021619,0.000000
Roger-Vasselin E.,174,2.416398,-0.061617,0.250000
Veic A.,175,2.476639,-0.010404,0.333333
Kudryavtsev A.,176,2.514875,-0.021619,0.000000
Sidorenko A.,177,2.635240,-0.032334,0.333333
Navarro-Pastor I.,178,2.706752,-0.027820,0.555556
Santoro F.,179,2.750149,-0.021619,0.000000
Kim K.,180,2.781058,-0.012772,0.500000
Massu N.,181,2.940015,-0.011824,0.333333
Deheart R.,182,3.008264,-0.039464,0.000000
Recouderc L.,183,3.167750,-0.008443,0.333333
Soeda G.,184,3.306887,0.023580,0.000000
Alves T.,185,3.356309,-0.011987,0.500000
Witten J.,186,3.531713,-0.043244,0.000000
Kavcic B.,187,3.583080,-0.030397,0.444444
Fischer M.,188,3.612064,-0.026846,0.500000
Ventura S.,189,3.644156,0.089479,0.461538
Galvani S.,190,3.648984,-0.021619,0.000000
Bautista R.,191,3.722583,-0.021619,0.000000
Ward J.,192,3.734488,-0.037046,0.500000
Aguilar J.,193,3.815969,-0.042039,0.000000
Cervantes I.,194,3.831967,-0.021619,0.000000
Koellerer D.,195,4.130637,0.006784,0.363636
Capdeville P.,196,4.179702,-0.021619,0.000000
Hernandez O.,197,4.342424,-0.137519,0.266667
Daniel M.,198,4.633025,-0.120729,0.166667
Alcaide G.,199,4.697820,-0.021619,0.000000
Balleret B.,200,4.698637,-0.021619,0.000000
Junqueira D.,201,5.045495,-0.041208,0.500000
Lorenzi P.,202,5.101905,-0.095472,0.125000
Cipolla F.,203,5.146811,-0.021619,0.000000
Ramirez-Hidalgo R.,204,5.199461,-0.061467,0.400000
Lindahl N.,205,5.212613,-0.120274,0.000000
Guez D.,206,5.340430,-0.071087,0.500000
Van Der Merwe I.,207,5.343029,-0.027890,0.500000
Lojda D.,208,5.446992,-0.021619,0.000000
Beck K.,209,5.460465,-0.145673,0.250000
Rochus C.,210,5.518128,-0.092077,0.000000
Przysiezny M.,211,5.537713,-0.012321,0.250000
Vliegen K.,212,5.591117,-0.098164,0.200000
Hocevar R.,213,5.605338,-0.041021,0.000000
De Voest R.,214,5.796576,-0.040079,0.333333
Bemelmans R.,215,5.997797,,0.400000
Crivoi V.,216,6.021292,-0.032999,0.285714
Yani M.,217,6.387683,-0.042605,0.500000
Vagnozzi S.,218,6.400318,,0.666667
Bohli S.,219,6.626793,-0.061069,0.666667
