k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},360.553959,246.820916,436.943614,82.517274,254,2052
1,{Mayer F.},354.973284,247.817855,432.919995,81.995123,253,2017
1,{Davydenko N.},355.175384,247.122820,432.688388,82.085721,253,2012
1,{Golubev A.},356.260405,247.382792,433.727705,82.139186,253,2022
1,{Llodra M.},355.820230,246.802928,433.035474,82.168841,253,2014
1,{Malisse X.},355.628747,246.470924,432.688944,82.190394,253,2014
1,{Rochus O.},356.838073,247.154010,434.072016,82.207113,253,2025
1,{Lacko L.},356.657784,246.809536,433.727705,82.230805,253,2023
1,{Stakhovsky S.},355.908256,246.269273,432.803929,82.233139,253,2014
1,{Istomin D.},355.111636,245.591057,431.762946,82.246899,253,2006
1,{Hanescu V.},355.687757,245.979555,432.457769,82.247975,253,2013
1,{Mathieu P.H.},357.087057,246.796587,434.073406,82.264210,253,2026
1,{Schuettler R.},357.563955,247.116933,434.647859,82.265206,253,2030
1,{Tipsarevic J.},356.738716,246.488803,433.611856,82.271440,253,2019
1,{Garcia-Lopez G.},355.409657,245.568112,431.995048,82.271697,253,2006
1,{Baghdatis M.},355.260141,245.376187,431.762946,82.281295,253,1999
1,{Mayer L.},357.841668,246.918169,434.763432,82.307214,253,2028
1,{Dolgopolov O.},356.584720,245.900508,433.150923,82.323435,253,2016
1,{Starace P.},356.553506,245.742384,433.035474,82.338175,253,2015
1,{De Bakker T.},356.946832,245.985124,433.497084,82.341230,253,2018
1,{Falla A.},357.619824,246.430078,434.303721,82.343256,253,2026
1,{Robredo T.},356.781477,245.818428,433.266341,82.346918,253,2017
1,{Stepanek R.},357.843925,246.510542,434.533913,82.351207,253,2029
1,{Berdych T.},356.134200,245.328322,432.455262,82.351686,253,2006
1,{Greul S.},357.185073,246.045820,433.727705,82.352377,253,2022
1,{Blake J.},357.499677,246.198503,434.073406,82.359267,253,2025
1,{Chardy J.},357.123400,245.931125,433.611856,82.360156,253,2017
1,{Youzhny M.},356.113216,245.159335,432.342135,82.368381,253,2009
1,{Polansky P.},359.485245,247.366288,436.371083,82.380630,253,2047
1,{Berrer M.},356.741162,245.469886,433.035474,82.381510,253,2014
1,{Andreev I.},356.750024,245.457007,433.035474,82.383556,253,2018
1,{Phau B.},358.306434,246.447197,434.878974,82.392218,253,2034
1,{Ginepri R.},358.604466,246.622299,435.223761,82.395425,253,2035
1,{Benneteau J.},357.038249,245.444352,433.265786,82.406287,253,2017
1,{Seppi A.},356.187821,244.845824,432.225915,82.407789,253,2009
1,{Gicquel M.},358.707574,246.472307,435.223761,82.419116,253,2037
1,{Dodig I.},359.093594,246.721528,435.683052,82.420832,253,2041
1,{Zverev M.},358.242399,246.133348,434.648411,82.421191,253,2028
1,{Querrey S.},357.604946,245.635875,433.841308,82.427593,253,2016
1,{Volandri F.},359.407324,246.872634,436.027203,82.427730,253,2044
1,{Ventura S.},358.934693,246.547375,435.453467,82.427795,253,2039
1,{Kiefer N.},359.815942,247.087453,436.485649,82.434770,253,2048
1,{Riba P.},358.683504,246.304416,435.108862,82.435348,253,2035
1,{Verdasco F.},356.308891,244.666660,432.224247,82.436118,253,2004
1,{Rufin G.},359.558787,246.854614,436.141860,82.440788,253,2045
1,{Ramos-Vinolas A.},359.657182,246.913817,436.256486,82.441681,253,2046
1,{Hewitt L.},358.052923,245.800379,434.303721,82.442978,253,2028
1,{Brown D.},359.030440,246.407924,435.453467,82.449783,253,2039
1,{Kamke T.},359.047033,246.383746,435.453467,82.453594,253,2039
1,{Korolev E.},357.831610,245.512242,433.958203,82.457621,253,2024
1,{Darcis S.},359.634873,246.743754,436.141860,82.458233,253,2045
1,{Gabashvili T.},358.223923,245.754640,434.418832,82.460496,253,2029
1,{Gonzalez F.},358.319791,245.818326,434.533913,82.460719,253,2031
1,{Gil F.},358.606071,246.010991,434.878974,82.461120,253,2034
1,{Brands D.},358.134049,245.682162,434.303721,82.461658,253,2029
1,{Nieminen J.},357.091962,244.956823,433.034081,82.462785,253,2012
1,{Meffert D.},360.137527,247.023650,436.714692,82.465173,253,2050
1,{Marchenko I.},357.484773,245.202690,433.497084,82.465324,253,2022
1,{Ferrero J.C.},357.114802,244.925988,433.035474,82.467794,253,2015
1,{Ungur A.},360.153975,246.999669,436.714692,82.468940,253,2050
1,{Mello R.},359.210531,246.348364,435.568275,82.469397,253,2039
1,{Sweeting R.},359.218599,246.336599,435.568275,82.471250,253,2040
1,{Matosevic M.},359.991299,246.831900,436.485649,82.474945,253,2048
1,{Del Potro J.M.},359.804415,246.699220,436.256486,82.475430,253,2046
1,{Koubek S.},359.722081,246.616598,436.141860,82.478229,253,2045
1,{Mertens Y.},360.195701,246.938816,436.714692,82.478494,253,2050
1,{Levy H.},360.122887,246.842517,436.600185,82.483448,253,2049
1,{Raonic M.},359.745788,246.582015,436.141860,82.483664,253,2045
1,{Zemlja G.},359.942284,246.700778,436.371083,82.485366,253,2046
1,{Gimeno-Traver D.},357.761461,245.205012,433.726597,82.485479,253,2021
1,{Kukushkin M.},358.724049,245.838928,434.878974,82.488249,253,2034
1,{Granollers M.},357.591223,245.047423,433.497084,82.489880,253,2019
1,{Berlocq C.},359.868738,246.605380,436.256486,82.490175,253,2046
1,{Dabul B.},359.691462,246.458462,436.027203,82.492895,253,2044
1,{Soeda G.},359.978625,246.647747,436.371083,82.493694,253,2047
1,{Schukin Y.},359.897688,246.563127,436.256486,82.496811,253,2046
1,{Haas T.},359.901761,246.557182,436.256486,82.497744,253,2046
1,{Fognini F.},357.439485,244.859667,433.265786,82.498895,253,2019
1,{Harrison R.},359.908246,246.547715,436.256486,82.499231,253,2045
1,{Nishikori K.},359.730664,246.401241,436.027203,82.501885,253,2044
1,{Ebden M.},360.204195,246.723853,436.600185,82.502071,253,2049
1,{Beck A.},358.604392,245.606621,434.648964,82.504371,253,2032
1,{Haase R.},359.554567,246.252381,435.797799,82.504906,253,2042
1,{Almagro N.},356.421983,244.094512,431.993936,82.506247,253,2005
1,{Kontinen H.},360.328840,246.744502,436.714692,82.508980,253,2050
1,{Skugor F.},360.329567,246.743440,436.714692,82.509147,253,2050
1,{Bachinger M.},360.235786,246.677726,436.600185,82.509307,253,2049
1,{Koellerer D.},359.673554,246.281661,435.912516,82.510490,253,2042
1,{Sorensen L.},360.257229,246.646409,436.600185,82.514218,253,2049
1,{Reister J.},359.608095,246.174207,435.797799,82.517189,253,2042
1,{Mannarino A.},359.988070,246.431149,436.256486,82.517528,253,2046
