cycle_nodes,cycle_edges,vorticity
"Bublik A.,De Minaur A.,Hurkacz H.,Rublev A.,Auger-Aliassime F.,Bublik A.","(Bublik A.,De Minaur A.);(De Minaur A.,Hurkacz H.);(Hurkacz H.,Rublev A.);(Rublev A.,Auger-Aliassime F.);(Auger-Aliassime F.,Bublik A.)",-50.0
"Shelton B.,De Minaur A.,Hurkacz H.,Rublev A.,Auger-Aliassime F.,Shelton B.","(Shelton B.,De Minaur A.);(De Minaur A.,Hurkacz H.);(Hurkacz H.,Rublev A.);(Rublev A.,Auger-Aliassime F.);(Auger-Aliassime F.,Shelton B.)",-50.0
"Tsitsipas S.,Fils A.,Medvedev D.,Ruud C.,Khachanov K.,Tsitsipas S.","(Tsitsipas S.,Fils A.);(Fils A.,Medvedev D.);(Medvedev D.,Ruud C.);(Ruud C.,Khachanov K.);(Khachanov K.,Tsitsipas S.)",50.0
"Zverev A.,Djokovic N.,De Minaur A.,Hurkacz H.,Rublev A.,Auger-Aliassime F.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Hurkacz H.);(Hurkacz H.,Rublev A.);(Rublev A.,Auger-Aliassime F.);(Auger-Aliassime F.,Zverev A.)",-40.00000000000001
"Sinner J.,Djokovic N.,De Minaur A.,Hurkacz H.,Rublev A.,Auger-Aliassime F.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Hurkacz H.);(Hurkacz H.,Rublev A.);(Rublev A.,Auger-Aliassime F.);(Auger-Aliassime F.,Sinner J.)",-40.0
"Tsitsipas S.,Fils A.,Medvedev D.,Ruud C.,Rune H.,Tsitsipas S.","(Tsitsipas S.,Fils A.);(Fils A.,Medvedev D.);(Medvedev D.,Ruud C.);(Ruud C.,Rune H.);(Rune H.,Tsitsipas S.)",30.000000000000004
"Sinner J.,Djokovic N.,De Minaur A.,Hurkacz H.,Rublev A.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Hurkacz H.);(Hurkacz H.,Rublev A.);(Rublev A.,Sinner J.)",-30.0
"Khachanov K.,Ruud C.,Fritz T.,Khachanov K.","(Khachanov K.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Khachanov K.)",-30.0
"Rune H.,Ruud C.,Draper J.,Rune H.","(Rune H.,Ruud C.);(Ruud C.,Draper J.);(Draper J.,Rune H.)",-30.0
"Lehecka J.,De Minaur A.,Hurkacz H.,Rublev A.,Auger-Aliassime F.,Lehecka J.","(Lehecka J.,De Minaur A.);(De Minaur A.,Hurkacz H.);(Hurkacz H.,Rublev A.);(Rublev A.,Auger-Aliassime F.);(Auger-Aliassime F.,Lehecka J.)",-30.0
