k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},16.064675,4.052515,16.567940,96.962412,6,13
1,{A},10.377242,7.825207,12.996962,79.843597,5,8
1,{E},11.923724,6.918161,13.785360,86.495558,5,9
1,{D},13.317923,5.812418,14.531045,91.651514,5,10
1,{B},12.833471,5.033702,13.785360,93.094934,5,9
1,{F},12.584254,3.249240,12.996962,96.824584,5,8
1,{C},12.584254,3.249240,12.996962,96.824584,5,8
2,"{C, F}",2.652994,8.798985,9.190240,28.867513,4,4
2,"{A, B}",3.249240,9.747721,10.275000,31.622777,4,5
2,"{A, E}",3.249240,9.747721,10.275000,31.622777,4,5
2,"{D, E}",4.595120,10.275000,11.255699,40.824829,4,6
2,"{A, F}",7.958981,4.595120,9.190240,86.602540,4,4
2,"{A, C}",7.958981,4.595120,9.190240,86.602540,4,4
2,"{A, D}",10.275000,4.595120,11.255699,91.287093,4,6
2,"{B, D}",10.275000,4.595120,11.255699,91.287093,4,6
2,"{B, E}",10.275000,4.595120,11.255699,91.287093,4,6
2,"{C, D}",10.275000,4.595120,11.255699,91.287093,4,6
2,"{D, F}",10.275000,4.595120,11.255699,91.287093,4,6
2,"{B, F}",9.747721,3.249240,10.275000,94.868330,4,5
2,"{C, E}",9.747721,3.249240,10.275000,94.868330,4,5
2,"{E, F}",9.747721,3.249240,10.275000,94.868330,4,5
2,"{B, C}",9.747721,3.249240,10.275000,94.868330,4,5
