k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},34.960295,8.819171,36.055513,96.962412,6,13
1,{A},22.583180,17.029386,28.284271,79.843597,5,8
1,{E},25.948667,15.055453,30.000000,86.495558,5,9
1,{D},28.982753,12.649111,31.622777,91.651514,5,10
1,{B},27.928480,10.954451,30.000000,93.094934,5,9
1,{C},27.386128,7.071068,28.284271,96.824584,5,8
1,{F},27.386128,7.071068,28.284271,96.824584,5,8
2,"{C, F}",5.773503,19.148542,20.000000,28.867513,4,4
2,"{A, B}",7.071068,21.213203,22.360680,31.622777,4,5
2,"{A, E}",7.071068,21.213203,22.360680,31.622777,4,5
2,"{D, E}",10.000000,22.360680,24.494897,40.824829,4,6
2,"{A, C}",17.320508,10.000000,20.000000,86.602540,4,4
2,"{A, F}",17.320508,10.000000,20.000000,86.602540,4,4
2,"{A, D}",22.360680,10.000000,24.494897,91.287093,4,6
2,"{B, D}",22.360680,10.000000,24.494897,91.287093,4,6
2,"{B, E}",22.360680,10.000000,24.494897,91.287093,4,6
2,"{C, D}",22.360680,10.000000,24.494897,91.287093,4,6
2,"{D, F}",22.360680,10.000000,24.494897,91.287093,4,6
2,"{B, C}",21.213203,7.071068,22.360680,94.868330,4,5
2,"{B, F}",21.213203,7.071068,22.360680,94.868330,4,5
2,"{C, E}",21.213203,7.071068,22.360680,94.868330,4,5
2,"{E, F}",21.213203,7.071068,22.360680,94.868330,4,5
