====================================================================================================
SOCCER DATA INTRANSITIVITY ANALYSIS SUMMARY
====================================================================================================

        File  Nodes  Edges  L2_Intransitive  L2_Transitive   L2_Total  Intransitivity_Ratio
 BL_2021.csv     18    306        85.654671      60.057230 104.611632              0.818787
 BL_2122.csv     18    306        80.805160      56.742192  98.737785              0.818381
 BL_2223.csv     18    306        86.170210      52.339153 100.820097              0.854693
 BL_2324.csv     18    306        77.177269      76.246585 108.489044              0.711383
 BL_2425.csv     18    306        88.316477      58.225509 105.782844              0.834885
EPL_2021.csv     20    380       100.042827      70.723327 122.516759              0.816564
EPL_2122.csv     20    380        91.000499      86.559952 125.593456              0.724564
EPL_2223.csv     20    380       102.571227      68.370628 123.269621              0.832088
EPL_2324.csv     20    380        92.873608      82.384143 124.147711              0.748090
EPL_2425.csv     20    380        94.632495      76.596045 121.746718              0.777290
FL1_2021.csv     20    380        90.572555      61.786233 109.639985              0.826091
FL1_2122.csv     20    380        84.558072      59.141547 103.188130              0.819455
FL1_2223.csv     20    380        95.926072      74.815986 121.652140              0.788528
FL1_2324.csv     18    306        86.132743      54.430885 101.889993              0.845350
FL1_2425.csv     18    306        91.604134      69.111682 114.750782              0.798288
ISA_2021.csv     20    380        82.282386      80.303259 114.973930              0.715661
ISA_2122.csv     20    380        90.553422      73.715936 116.764555              0.775521
ISA_2223.csv     20    380        87.703787      64.654411 108.959383              0.804922
ISA_2324.csv     20    380        90.816821      66.608822 112.625176              0.806363
ISA_2425.csv     20    380        85.188490      75.084703 113.555235              0.750194
SLL_2021.csv     20    380        85.956938      68.182357 109.715217              0.783455
SLL_2122.csv     20    380        89.970262      56.178507 106.069189              0.848222
SLL_2223.csv     20    380       103.114406      61.246393 119.932070              0.859773
SLL_2324.csv     20    380        83.765013      77.535974 114.142037              0.733866
SLL_2425.csv     20    380        88.033399      69.862889 112.386399              0.783310
====================================================================================================
