Analysis for k=3 (removing 3 nodes)
Total combinations analyzed: 1140
Original intransitivity percentage: 78.42%, (intransitivity: 95.503422, total: 121.781372)
======================================================================

Results (sorted by intransitivity percentage):
------------------------------------------------------------------------------------------------------------------------
Removed Nodes                                        Percentage     Intransitivity              Total
------------------------------------------------------------------------------------------------------------------------
{Bournemouth, Fulham, Man United}                        68.97%          70.907977         102.808870
{Bournemouth, Crystal Palace, Fulham}                    68.99%          72.859225         105.613077
{Fulham, Everton, Man United}                            69.07%          72.972879         105.653024
{Crystal Palace, Fulham, Man United}                     69.32%          71.865390         103.677102
{Bournemouth, Fulham, Everton}                           69.34%          75.205755         108.455343
{Fulham, Everton, Brighton}                              69.39%          75.858213         109.321724
{Crystal Palace, Fulham, Everton}                        69.56%          76.019335         109.278722
{Fulham, Brighton, Man United}                           69.75%          73.672782         105.628504
{Brentford, Fulham, Everton}                             69.79%          73.723232         105.642148
{Bournemouth, Fulham, Brighton}                          69.81%          75.062921         107.529351
{Crystal Palace, Fulham, Brighton}                       70.12%          75.983626         108.359767
{Brentford, Fulham, Man United}                          70.28%          70.857941         100.823827
{Bournemouth, Crystal Palace, Man United}                70.44%          73.060087         103.722426
{Bournemouth, Brentford, Fulham}                         70.68%          73.349106         103.781620
{Brentford, Crystal Palace, Fulham}                      70.78%          74.060261         104.641781
{Fulham, Everton, Man City}                              70.81%          76.117605         107.494572
{Fulham, Everton, Tottenham}                             70.84%          73.521112         103.781620
{Aston Villa, Fulham, Everton}                           70.89%          78.136343         110.226595
{Brentford, Fulham, Brighton}                            70.89%          74.220597         104.691277
{Fulham, West Ham, Everton}                              70.96%          76.307489         107.538287
{Bournemouth, Everton, Man United}                       71.00%          75.693768         106.610601
{Bournemouth, Fulham, Tottenham}                         71.01%          71.657096         100.910394
{Crystal Palace, Fulham, Man City}                       71.02%          74.978920         105.573115
{Fulham, Brighton, Tottenham}                            71.03%          73.720901         103.781620
{Bournemouth, Aston Villa, Fulham}                       71.04%          75.736425         106.613343
{Crystal Palace, Fulham, West Ham}                       71.05%          75.038530         105.613077
{Crystal Palace, Fulham, Tottenham}                      71.20%          73.167244         102.767818
{Brentford, Everton, Man United}                         71.23%          73.210977         102.778997
{Bournemouth, Brighton, Man United}                      71.29%          76.006935         106.610601
{Bournemouth, Fulham, West Ham}                          71.33%          74.726381         104.765477
{Aston Villa, Crystal Palace, Fulham}                    71.34%          76.652472         107.450838
{Bournemouth, Fulham, Man City}                          71.34%          74.693862         104.695866
{Chelsea, Fulham, Everton}                               71.40%          76.783907         107.533819
{Everton, Brighton, Man United}                          71.41%          77.424857         108.418163
{Aston Villa, Fulham, Man United}                        71.44%          74.791147         104.695866
{Bournemouth, Brentford, Man United}                     71.51%          72.124044         100.865670
{Aston Villa, Fulham, Brighton}                          71.51%          77.518370         108.401399
{Fulham, West Ham, Brighton}                             71.57%          76.314676         106.624120
{Chelsea, Crystal Palace, Fulham}                        71.61%          75.634430         105.613077
{Crystal Palace, Everton, Man United}                    71.64%          76.974223         107.452588
{Fulham, Everton, Arsenal}                               71.74%          77.091102         107.466001
{Fulham, Tottenham, Man United}                          71.76%          71.678104          99.883763
