k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},66.943491,54.360074,86.234846,77.629282,20,190
1,{Fulham},60.504941,55.336679,81.993878,73.792023,19,171
1,{Man United},60.663118,53.283567,80.741268,75.132728,19,171
1,{Bournemouth},62.563268,53.933602,82.601428,75.741146,19,171
1,{Everton},63.909973,55.087818,84.375069,75.745091,19,171
1,{Crystal Palace},63.021234,54.272964,83.169890,75.774098,19,171
1,{Brighton},63.549788,54.594659,83.780382,75.852827,19,171
1,{Brentford},61.750706,52.074639,80.776963,76.445937,19,171
1,{Tottenham},61.933268,50.902945,80.167572,77.254764,19,171
1,{Man City},63.365891,52.017670,81.982158,77.292295,19,171
1,{Aston Villa},64.380892,52.707653,83.204543,77.376655,19,171
1,{West Ham},63.960225,52.287737,82.613061,77.421444,19,171
1,{Nott'm Forest},63.516391,51.833795,81.982158,77.475871,19,171
1,{Chelsea},64.482553,51.623603,82.601428,78.064695,19,171
1,{Newcastle},63.639334,50.743995,81.393598,78.187149,19,171
1,{Arsenal},64.699705,51.332469,82.589795,78.338619,19,171
1,{Wolves},64.000423,50.287808,81.393598,78.630782,19,171
1,{Ipswich},64.138521,50.111554,81.393598,78.800450,19,171
1,{Liverpool},64.588417,48.490539,80.765067,79.970735,19,171
1,{Leicester},63.848218,47.436744,79.541433,80.270389,19,171
1,{Southampton},63.701907,46.550884,78.898148,80.739420,19,171
