k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},66.943491,54.360074,86.234846,77.629282,20,190
1,{Fulham},60.504941,55.336679,81.993878,73.792023,19,171
1,{Man United},60.663118,53.283567,80.741268,75.132728,19,171
1,{Bournemouth},62.563268,53.933602,82.601428,75.741146,19,171
1,{Everton},63.909973,55.087818,84.375069,75.745091,19,171
1,{Crystal Palace},63.021234,54.272964,83.169890,75.774098,19,171
1,{Brighton},63.549788,54.594659,83.780382,75.852827,19,171
1,{Brentford},61.750706,52.074639,80.776963,76.445937,19,171
1,{Tottenham},61.933268,50.902945,80.167572,77.254764,19,171
1,{Man City},63.365891,52.017670,81.982158,77.292295,19,171
1,{Aston Villa},64.380892,52.707653,83.204543,77.376655,19,171
1,{West Ham},63.960225,52.287737,82.613061,77.421444,19,171
1,{Nott'm Forest},63.516391,51.833795,81.982158,77.475871,19,171
1,{Chelsea},64.482553,51.623603,82.601428,78.064695,19,171
1,{Newcastle},63.639334,50.743995,81.393598,78.187149,19,171
1,{Arsenal},64.699705,51.332469,82.589795,78.338619,19,171
1,{Wolves},64.000423,50.287808,81.393598,78.630782,19,171
1,{Ipswich},64.138521,50.111554,81.393598,78.800450,19,171
1,{Liverpool},64.588417,48.490539,80.765067,79.970735,19,171
1,{Leicester},63.848218,47.436744,79.541433,80.270389,19,171
1,{Southampton},63.701907,46.550884,78.898148,80.739420,19,171
2,"{Everton, Fulham}",56.918490,56.284162,80.047620,71.105787,18,153
2,"{Bournemouth, Fulham}",55.712769,54.841157,78.175860,71.265949,18,153
2,"{Crystal Palace, Fulham}",56.183310,55.201572,78.764064,71.331146,18,153
2,"{Brighton, Fulham}",56.773869,55.519614,79.408436,71.496017,18,153
2,"{Fulham, Man United}",55.028390,53.643042,76.848550,71.606283,18,153
2,"{Brentford, Fulham}",55.606639,53.097710,76.886053,72.323441,18,153
2,"{Bournemouth, Man United}",55.657229,53.008436,76.861053,72.412786,18,153
2,"{Everton, Man United}",57.374528,53.962407,78.764064,72.843534,18,153
2,"{Crystal Palace, Man United}",56.481473,53.025459,77.471647,72.905992,18,153
2,"{Fulham, Man City}",57.023902,53.440585,78.151273,72.966056,18,153
2,"{Brighton, Man United}",57.480503,53.831662,78.751864,72.989387,18,153
2,"{Fulham, Tottenham}",55.187325,51.668829,75.599661,72.999435,18,153
2,"{Aston Villa, Fulham}",58.064831,54.203493,79.432634,73.099466,18,153
2,"{Brentford, Man United}",54.912746,50.913769,74.884054,73.330360,18,153
2,"{Fulham, West Ham}",57.413197,53.076471,78.188151,73.429537,18,153
2,"{Bournemouth, Crystal Palace}",58.446184,53.738454,79.396334,73.613202,18,153
2,"{Chelsea, Fulham}",57.641025,52.792571,78.163568,73.744107,18,153
2,"{Brighton, Everton}",60.477924,55.174964,81.864864,73.875312,18,153
2,"{Bournemouth, Everton}",60.073027,54.744233,81.275455,73.912877,18,153
2,"{Bournemouth, Brighton}",59.623543,54.320648,80.657918,73.921501,18,153
2,"{Brentford, Everton}",58.399142,52.888199,78.788460,74.121441,18,153
2,"{Arsenal, Fulham}",57.954251,52.448528,78.163568,74.144839,18,153
2,"{Brighton, Crystal Palace}",60.324433,54.414125,81.239979,74.254614,18,153
2,"{Crystal Palace, Everton}",60.845675,54.751603,81.853126,74.335188,18,153
2,"{Fulham, Nott'm Forest}",58.130513,52.234710,78.151273,74.382042,18,153
2,"{Brentford, Brighton}",58.249300,52.120652,78.163568,74.522315,18,153
2,"{Aston Villa, Man United}",57.809918,51.629786,77.508848,74.584928,18,153
2,"{Bournemouth, Brentford}",57.868533,51.601337,77.533639,74.636679,18,153
2,"{Fulham, Wolves}",57.396060,51.158160,76.886053,74.650809,18,153
2,"{Man City, Man United}",56.972839,50.594419,76.195142,74.772272,18,153
2,"{Man United, Tottenham}",56.022599,49.709272,74.896884,74.799639,18,153
2,"{Man United, Nott'm Forest}",57.488935,50.978429,76.836045,74.820268,18,153
2,"{Brentford, Crystal Palace}",58.508834,51.792046,78.138977,74.877912,18,153
2,"{Brighton, Tottenham}",58.533682,51.801075,78.163568,74.886144,18,153
2,"{Bournemouth, Tottenham}",57.227960,50.401085,76.258172,75.045020,18,153
2,"{Fulham, Ipswich}",57.728288,50.782968,76.886053,75.082913,18,153
2,"{Everton, Man City}",60.102074,52.853007,80.035615,75.094161,18,153
2,"{Fulham, Newcastle}",58.229243,51.193949,77.533639,75.101909,18,153
2,"{Man United, West Ham}",58.220357,51.166507,77.508848,75.114466,18,153
2,"{Crystal Palace, Man City}",59.197009,51.956635,78.764064,75.157383,18,153
2,"{Bournemouth, Man City}",58.751386,51.535387,78.151273,75.176493,18,153
2,"{Crystal Palace, Nott'm Forest}",59.243765,51.903316,78.764064,75.216744,18,153
2,"{Aston Villa, Bournemouth}",59.786418,52.316816,79.444730,75.255361,18,153
2,"{Aston Villa, Everton}",61.647830,53.900322,81.888337,75.282796,18,153
2,"{Bournemouth, West Ham}",59.338015,51.869693,78.812849,75.289774,18,153
2,"{Everton, Tottenham}",58.862440,51.427195,78.163568,75.306747,18,153
2,"{Crystal Palace, West Ham}",59.818284,52.225210,79.408436,75.329886,18,153
2,"{Crystal Palace, Tottenham}",58.404275,50.956473,77.508848,75.351752,18,153
2,"{Everton, West Ham}",60.790151,53.029982,80.669830,75.356736,18,153
2,"{Brighton, West Ham}",60.349547,52.606800,80.059623,75.380753,18,153
2,"{Brighton, Nott'm Forest}",59.860951,52.176300,79.408436,75.383616,18,153
2,"{Brighton, Man City}",59.913212,52.116281,79.408436,75.449430,18,153
2,"{Everton, Nott'm Forest}",60.394020,52.500859,80.023608,75.470254,18,153
2,"{Aston Villa, Brighton}",60.885691,52.920261,80.669830,75.475170,18,153
2,"{Man United, Newcastle}",57.542916,49.964330,76.207752,75.507956,18,153
2,"{Bournemouth, Nott'm Forest}",59.028574,51.236420,78.163568,75.519293,18,153
2,"{Chelsea, Man United}",58.170638,50.237420,76.861053,75.682853,18,153
2,"{Aston Villa, Crystal Palace}",60.588527,52.294646,80.035615,75.701957,18,153
2,"{Fulham, Leicester}",57.250991,49.352923,75.586949,75.741899,18,153
2,"{Arsenal, Man United}",58.268348,50.104883,76.848550,75.822313,18,153
2,"{Brentford, Man City}",57.818819,49.683491,76.232966,75.844903,18,153
2,"{Brentford, West Ham}",58.458007,49.979698,76.911044,76.007298,18,153
2,"{Crystal Palace, Newcastle}",59.412689,50.771585,78.151273,76.022676,18,153
2,"{Chelsea, Everton}",61.352209,52.378697,80.669830,76.053475,18,153
2,"{Ipswich, Man United}",57.469777,49.058822,75.561520,76.056936,18,153
2,"{Bournemouth, Chelsea}",59.948687,51.162682,78.812849,76.064611,18,153
2,"{Chelsea, Crystal Palace}",60.431924,51.495246,79.396334,76.114250,18,153
2,"{Brighton, Chelsea}",60.936070,51.889258,80.035615,76.136192,18,153
2,"{Brentford, Nott'm Forest}",58.050426,49.393232,76.220360,76.161311,18,153
2,"{Arsenal, Crystal Palace}",60.540095,51.368033,79.396334,76.250491,18,153
2,"{Brighton, Newcastle}",60.096566,50.970051,78.800655,76.264043,18,153
2,"{Aston Villa, Brentford}",59.622779,50.562727,78.175860,76.267506,18,153
2,"{Bournemouth, Newcastle}",59.165254,50.128432,77.546031,76.296947,18,153
2,"{Arsenal, Everton}",61.539848,52.121252,80.646003,76.308615,18,153
2,"{Fulham, Liverpool}",58.190738,49.247366,76.232966,76.332775,18,153
2,"{Crystal Palace, Ipswich}",60.132823,50.889520,78.776263,76.333683,18,153
2,"{Everton, Newcastle}",60.634231,51.313091,79.432634,76.334157,18,153
2,"{Man United, Wolves}",58.235870,49.154908,76.207752,76.417252,18,153
2,"{Arsenal, Brighton}",61.280991,51.462782,80.023608,76.578641,18,153
2,"{Nott'm Forest, Tottenham}",58.435635,48.956528,76.232966,76.654023,18,153
2,"{Crystal Palace, Wolves}",59.942336,50.145168,78.151273,76.700396,18,153
2,"{Brighton, Wolves}",60.471933,50.524139,78.800655,76.740393,18,153
2,"{Everton, Wolves}",60.961832,50.923455,79.432634,76.746583,18,153
2,"{Bournemouth, Wolves}",59.504915,49.705434,77.533639,76.747223,18,153
2,"{Man City, West Ham}",60.553155,50.426766,78.800655,76.843466,18,153
2,"{Tottenham, West Ham}",58.629027,48.783888,76.270771,76.869587,18,153
2,"{Brighton, Ipswich}",60.593342,50.378469,78.800655,76.894465,18,153
2,"{Brentford, Newcastle}",58.136890,48.306199,75.586949,76.913926,18,153
2,"{Aston Villa, Man City}",60.600766,50.350458,78.788460,76.915789,18,153
